frame,res,X,Y
1,[[-0.03471106  0.0033693 ]],781,40
2,[[-0.14732963 -0.05031506]],666,322
3,[[-0.6477031  -0.31954464]],80,2000
4,[[-0.65080726 -0.76105255]],-1296,2660
5,[[-0.46396065 -0.23763755]],288,1275
6,[[-0.43679595  0.18710141]],1342,1092
7,[[-0.19383296  0.22614221]],1381,402
8,[[-0.16345313  0.19962503]],1298,332
9,[[-0.05718698  0.1384047 ]],1122,68
10,[[-0.1373817   0.11627413]],1071,273
11,[[0.00453905 0.20150498]],1287,-75
12,[[0.04874758 0.19806929]],1248,-189
13,[[-0.05310022  0.09132051]],997,72
14,[[-0.13381948  0.09082264]],1005,264
15,[[-0.14323615  0.01845036]],830,297
16,[[-0.11431123  0.0398266 ]],877,222
17,[[-0.15219988  0.07881556]],970,304
18,[[-0.05772627  0.07857735]],958,85
19,[[-0.04809614  0.02614461]],833,66
20,[[-0.06523727  0.00876103]],794,107
21,[[-0.02011282  0.01207514]],798,3
22,[[-0.02483404  0.01646504]],808,13
23,[[-0.01248607  0.00546363]],782,-15
24,[[-0.04344098 -0.04287539]],673,58
25,[[-0.01159736  0.00186803]],773,-16
26,[[-0.00689253 -0.01538585]],734,-27
27,[[ 0.027793   -0.02804762]],703,-107
28,[[-0.00795024 -0.05524351]],640,-24
29,[[-0.01724344 -0.05627791]],638,-3
30,[[ 0.00809976 -0.04815286]],657,-62
31,[[ 0.00912827 -0.03549938]],687,-64
32,[[ 0.02873588 -0.05841832]],635,-109
33,[[ 0.01460339 -0.08151079]],580,-77
34,[[ 0.02369208 -0.04917344]],654,-97
35,[[ 0.01852199 -0.06006902]],629,-86
36,[[ 0.04728535 -0.09676741]],539,-155
37,[[ 0.03086211 -0.04949515]],654,-114
38,[[-0.00659795 -0.05419527]],642,-28
39,[[-0.01242232 -0.06113261]],625,-14
40,[[-0.06594288 -0.11273472]],507,111
41,[[-0.01294117 -0.07842992]],586,-13
42,[[-0.01810202 -0.0638404 ]],619,-2
43,[[-0.00667384 -0.04921937]],654,-28
44,[[-0.01684113 -0.06980547]],605,-4
45,[[-0.02767789 -0.06666761]],613,22
46,[[-0.00783991 -0.09680525]],540,-24
47,[[-0.00523608 -0.11888206]],490,-31
48,[[ 0.00082199 -0.06216795]],623,-45
49,[[-0.02294846 -0.0406356 ]],674,10
50,[[ 0.01509771 -0.02773041]],704,-79
51,[[-0.01233865 -0.01060402]],744,-15
52,[[-0.0199048  -0.01483386]],734,3
53,[[ 0.00602316 -0.01614487]],731,-58
54,[[-0.0103126  -0.00720909]],752,-19
