,frame,pred_x,pred_y
374,375,1079,510
375,376,1079,520
376,377,1075,542
377,378,1072,557
378,379,1069,573
379,380,1084,561
380,381,1079,566
381,382,1076,579
382,383,1079,583
383,384,1095,578
384,385,1073,588
385,386,1060,571
386,387,933,561
387,388,709,522
388,389,546,523
389,390,434,531
390,391,345,502
391,392,272,474
392,393,216,466
393,394,153,457
394,395,109,455
395,396,89,457
396,397,74,440
397,398,64,459
398,399,43,477
399,400,24,481
400,401,5,481
401,402,7,473
402,403,-16,465
403,404,-22,468
404,405,-40,487
405,406,-50,485
406,407,-54,475
407,408,-53,480
408,409,-23,461
409,410,-1,437
410,411,9,453
411,412,14,453
412,413,11,460
413,414,18,462
414,415,13,467
415,416,16,477
416,417,1,483
417,418,-21,465
418,419,-30,469
419,420,-21,460
420,421,-12,458
421,422,-7,454
422,423,-9,459
423,424,2,454
424,425,12,448
425,426,10,441
426,427,-8,440
427,428,-12,440
428,429,16,430
429,430,29,413
430,431,23,414
431,432,-1,421
432,433,1,423
433,434,12,410
434,435,25,416
435,436,18,419
436,437,36,412
437,438,42,388
438,439,53,409
439,440,59,411
440,441,58,432
441,442,42,436
442,443,33,454
443,444,43,465
444,445,43,482
445,446,53,476
446,447,56,496
447,448,45,496
448,449,29,500
449,450,34,497
450,451,42,470
451,452,51,457
452,453,34,456
453,454,43,460
454,455,33,469
455,456,28,462
456,457,33,464
457,458,32,459
458,459,30,471
459,460,22,477
460,461,11,478
461,462,18,496
462,463,25,484
463,464,22,474
464,465,25,450
465,466,14,446
466,467,14,443
467,468,6,441
468,469,0,452
469,470,-7,462
470,471,15,457
471,472,6,459
472,473,28,457
473,474,19,452
474,475,10,455
475,476,5,446
476,477,15,453
477,478,129,474
478,479,436,544
479,480,737,614
480,481,975,672
481,482,1133,720
482,483,1246,753
483,484,1331,777
484,485,1385,782
485,486,1448,795
486,487,1478,814
487,488,1510,807
488,489,1538,804
489,490,1568,808
490,491,1592,827
491,492,1603,859
492,493,1612,870
493,494,1605,872
494,495,1614,873
495,496,1624,873
496,497,1641,874
497,498,1632,865
498,499,1634,878
499,500,1636,897
500,501,1645,913
501,502,1656,918
502,503,1656,958
