,frame,pred_x,pred_y
385,386,843,716
386,387,919,683
387,388,906,680
388,389,917,690
389,390,912,686
390,391,854,680
391,392,982,652
392,393,927,651
393,394,912,668
394,395,965,692
395,396,906,719
396,397,995,774
397,398,1068,786
398,399,1012,793
399,400,987,751
400,401,1050,756
401,402,1011,698
402,403,1050,742
403,404,1017,694
404,405,987,703
405,406,1006,737
406,407,957,792
407,408,909,766
408,409,779,779
409,410,853,774
410,411,968,710
411,412,825,780
412,413,863,743
413,414,893,730
414,415,839,773
415,416,865,765
416,417,682,748
417,418,279,646
418,419,353,630
419,420,416,605
420,421,257,576
421,422,244,566
422,423,259,546
423,424,220,528
424,425,316,671
425,426,253,603
426,427,307,653
427,428,309,614
428,429,336,552
429,430,363,564
430,431,326,536
431,432,381,515
432,433,501,588
433,434,447,576
434,435,476,580
435,436,387,597
436,437,534,582
437,438,496,595
438,439,615,661
439,440,516,619
440,441,502,617
441,442,443,618
442,443,310,574
443,444,360,592
444,445,343,566
445,446,358,539
446,447,326,554
447,448,316,512
448,449,390,531
449,450,397,491
450,451,439,477
451,452,451,489
452,453,394,526
453,454,409,541
454,455,298,620
455,456,290,586
456,457,424,608
457,458,430,590
458,459,467,634
459,460,483,679
460,461,407,582
461,462,362,625
462,463,368,606
463,464,288,586
464,465,402,595
465,466,370,596
466,467,405,514
467,468,589,644
468,469,523,779
469,470,599,719
470,471,521,800
471,472,565,748
472,473,640,801
473,474,637,755
474,475,689,768
475,476,761,781
476,477,604,768
477,478,690,706
478,479,618,751
479,480,588,726
480,481,500,700
481,482,591,667
482,483,636,755
483,484,672,734
484,485,516,731
485,486,516,714
486,487,538,741
487,488,590,738
488,489,554,666
489,490,601,643
490,491,558,663
491,492,553,675
492,493,512,619
493,494,555,612
494,495,567,687
495,496,533,627
496,497,539,696
497,498,508,616
498,499,517,666
499,500,490,636
500,501,569,656
501,502,614,675
502,503,554,697
503,504,559,638
504,505,575,554
505,506,576,637
506,507,601,599
507,508,630,668
508,509,605,614
509,510,534,589
510,511,573,632
511,512,683,678
512,513,565,617
513,514,647,553
514,515,593,599
515,516,598,609
516,517,723,589
517,518,649,655
518,519,745,666
519,520,866,403
520,521,1098,218
521,522,1073,121
522,523,1040,-109
523,524,1077,-176
524,525,1082,-21
525,526,1098,26
526,527,1051,31
527,528,1018,94
528,529,1140,-56
529,530,1170,-9
530,531,1100,-72
531,532,1103,-32
532,533,1076,-101
533,534,1113,-34
534,535,1083,-82
535,536,1066,-39
536,537,1188,-89
537,538,1133,-27
538,539,1128,-151
539,540,1103,-101
540,541,1130,133
541,542,1094,76
542,543,1172,151
543,544,1060,3
544,545,1165,53
545,546,1046,41
546,547,1168,110
547,548,1147,108
548,549,1069,-47
549,550,1087,36
550,551,1009,-64
551,552,1012,-85
552,553,1003,74
553,554,989,64
554,555,1074,46
555,556,1065,39
556,557,1091,33
557,558,1069,99
558,559,1056,124
559,560,1041,82
560,561,1031,0
561,562,1019,46
562,563,1043,67
563,564,1051,46
564,565,1097,56
565,566,1035,16
566,567,1099,54
567,568,1073,94
568,569,1044,209
569,570,820,424
570,571,1017,574
571,572,1011,490
572,573,998,604
573,574,959,613
574,575,891,637
575,576,911,646
576,577,910,408
577,578,924,453
578,579,820,501
579,580,951,499
580,581,961,440
581,582,969,440
582,583,1020,461
583,584,954,363
584,585,1015,422
585,586,983,434
586,587,1020,434
587,588,1028,480
588,589,959,471
589,590,1010,525
590,591,955,512
591,592,928,501
592,593,885,397
593,594,965,420
594,595,921,495
595,596,892,480
596,597,930,519
597,598,897,495
598,599,944,497
599,600,947,452
600,601,926,512
601,602,962,516
602,603,987,469
603,604,951,463
604,605,969,514
605,606,987,508
606,607,931,493
607,608,957,521
608,609,895,544
609,610,898,549
610,611,967,514
611,612,962,523
612,613,1000,599
613,614,1074,535
614,615,1024,558
615,616,1009,543
616,617,944,516
617,618,1013,551
618,619,962,523
619,620,995,534
620,621,1029,504
621,622,1160,520
622,623,1281,520
623,624,1342,491
624,625,1280,471
625,626,1304,460
626,627,1403,536
627,628,1354,555
628,629,1359,451
629,630,1285,457
630,631,1357,453
631,632,1333,532
632,633,1396,598
633,634,1377,598
634,635,1379,620
635,636,1274,569
636,637,1467,499
637,638,1484,513
638,639,1450,504
639,640,1400,586
640,641,1417,517
641,642,1452,495
642,643,1410,542
643,644,1522,500
644,645,1449,500
645,646,1358,524
646,647,1342,502
647,648,1265,526
648,649,1323,451
649,650,1327,490
650,651,1303,495
651,652,1284,525
652,653,1319,581
653,654,1308,603
654,655,1336,556
655,656,1256,580
656,657,1268,473
657,658,1313,496
658,659,1289,509
659,660,1255,514
660,661,1331,582
661,662,1363,607
662,663,1376,542
663,664,1400,546
664,665,1379,565
665,666,1321,576
666,667,1458,478
667,668,1435,545
668,669,1414,504
669,670,1276,480
670,671,1302,506
671,672,740,476
672,673,154,304
673,674,-31,303
674,675,126,333
675,676,258,370
676,677,160,384
677,678,100,277
678,679,56,285
679,680,125,217
680,681,79,159
681,682,49,268
682,683,83,301
683,684,64,245
684,685,-101,214
685,686,-166,171
686,687,-10,131
687,688,39,170
688,689,44,149
689,690,-85,114
690,691,-78,128
691,692,76,173
692,693,-76,188
693,694,-117,141
694,695,11,215
695,696,50,193
696,697,76,141
697,698,54,41
698,699,105,136
699,700,66,48
700,701,159,54
701,702,116,98
702,703,75,122
703,704,118,216
704,705,129,166
705,706,54,143
706,707,-95,269
707,708,34,186
708,709,-27,230
709,710,-40,217
710,711,7,235
711,712,-63,208
712,713,83,155
713,714,39,181
714,715,121,128
715,716,97,154
716,717,-3,171
717,718,85,150
718,719,51,121
719,720,107,179
720,721,300,312
721,722,519,271
722,723,936,373
723,724,916,426
724,725,877,389
725,726,1024,329
726,727,980,408
727,728,994,442
728,729,946,497
729,730,977,488
730,731,999,512
731,732,930,528
732,733,924,402
733,734,876,445
734,735,934,442
735,736,867,441
736,737,940,444
737,738,870,433
738,739,918,367
739,740,927,394
740,741,933,377
741,742,974,266
742,743,1013,286
743,744,927,314
744,745,1009,290
745,746,1009,257
746,747,1002,329
747,748,1026,197
748,749,996,239
749,750,1077,211
750,751,1035,155
751,752,1008,176
752,753,1008,211
753,754,1022,214
754,755,1012,202
755,756,1020,246
756,757,1035,221
757,758,1004,207
758,759,1039,259
759,760,940,149
760,761,994,209
761,762,1049,310
762,763,1031,174
763,764,1000,169
764,765,1033,214
765,766,1129,307
766,767,1038,232
767,768,1065,316
768,769,1089,340
769,770,1084,327
770,771,984,255
771,772,985,308
772,773,1028,279
773,774,1130,446
774,775,1187,563
775,776,1162,570
776,777,1197,647
777,778,1272,613
778,779,1248,642
779,780,1271,618
780,781,1256,713
781,782,1281,709
782,783,1301,684
783,784,1246,724
784,785,1306,680
785,786,1225,687
786,787,1340,695
787,788,1266,690
788,789,1300,706
789,790,1285,719
790,791,1261,689
791,792,1284,656
792,793,1400,624
793,794,1358,632
794,795,1376,601
795,796,1346,633
796,797,1357,585
797,798,1368,628
798,799,1332,587
799,800,1414,622
800,801,1386,619
801,802,1455,615
802,803,1476,591
803,804,1440,567
804,805,1305,656
805,806,1244,678
806,807,1195,626
807,808,1242,661
808,809,1335,606
809,810,1301,630
