frame,res,X,Y
,[[-0.03274599  0.18314906 -0.97571495]],605,345
,[[-0.01089618  0.15792712 -0.98129378]],558,287
,[[-0.01601896  0.16136058 -0.98112145]],569,295
,[[-0.01014979  0.15610789 -0.98137114]],556,283
,[[-0.0217918   0.15782116 -0.9791288 ]],580,287
,[[-0.01003805  0.15766918 -0.98000396]],555,287
,[[-0.01697532  0.15161709 -0.97969748]],571,274
,[[-0.01067121  0.16122859 -0.98095391]],557,295
,[[-0.00656559  0.16675879 -0.98180483]],547,305
,[[-0.04800423  0.1672705  -0.97845987]],638,307
,[[-0.03613115  0.16064594 -0.97841455]],612,293
,[[-0.03959415  0.14739215 -0.97907195]],620,263
,[[-0.05243326  0.10387546 -0.98746794]],648,165
,[[-0.0694918   0.1178446  -0.98415674]],686,198
,[[-0.06744797  0.10146654 -0.98842658]],680,160
,[[-0.06467034  0.12358011 -0.98600351]],675,209
,[[-0.07384682  0.13616127 -0.9807478 ]],694,238
,[[-0.05476696  0.11677134 -0.98262948]],653,195
,[[-0.05008519  0.13001796 -0.98490054]],641,222
,[[-0.00886039  0.14333443 -0.98037058]],552,254
,[[-0.02221058  0.14742753 -0.97760639]],581,264
,[[-0.0511282   0.13798489 -0.9750576 ]],644,244
,[[-0.04530613  0.13637568 -0.97724461]],631,240
,[[-0.04723595  0.12408249 -0.97929416]],634,214
,[[-0.07218863  0.11793    -0.9784155 ]],690,201
,[[-0.06276389  0.12303542 -0.98233309]],669,211
,[[-0.11732375  0.1289114  -0.97200688]],790,227
,[[-0.15140636  0.15691528 -0.96613929]],867,290
,[[-0.19319117  0.16574993 -0.96017946]],963,313
,[[-0.14812815  0.17264465 -0.96401369]],862,328
,[[-0.15960538  0.14308063 -0.96528546]],887,261
,[[-0.16969248  0.14111267 -0.96189391]],910,258
,[[-0.16060268  0.13924876 -0.96386631]],889,252
,[[-0.17245761  0.14228387 -0.96049659]],918,260
,[[-0.18900664  0.16622926 -0.95674789]],957,317
,[[-0.15887967  0.18060364 -0.96254149]],888,345
