frame,res,X,Y
,[[ 0.04948898  0.22550895 -0.96924406]],570,466
,[[-0.00803941  0.23050791 -0.97012579]],847,489
,[[-0.01195607  0.27089088 -0.96077772]],864,696
,[[ 0.00633887  0.23553694 -0.96677413]],772,519
,[[-0.01258133  0.24724515 -0.96449167]],861,581
,[[-0.02747531  0.24788864 -0.96557078]],929,584
,[[-0.0174903   0.25421885 -0.96328118]],876,618
,[[ 8.12205415e-04  2.26567333e-01 -9.73380097e-01]],786,478
,[[ 0.01380021  0.22967471 -0.96454642]],722,505
,[[ 0.0203033   0.24733157 -0.96518778]],689,591
,[[ 0.04208706  0.25232621 -0.96219728]],585,622
,[[ 0.01310717  0.24604136 -0.96509279]],726,591
,[[ 0.08158033  0.23528205 -0.96412135]],396,539
,[[ 0.07698823  0.22753365 -0.96385011]],418,508
,[[ 0.10463197  0.23884466 -0.95338165]],276,576
,[[ 0.06268349  0.23325176 -0.96527325]],483,534
,[[ 0.06395467  0.25001762 -0.96013274]],473,621
,[[ 0.08774196  0.24078937 -0.96239686]],354,574
,[[ 0.03854358  0.24786421 -0.96529983]],588,611
,[[ 0.05656177  0.23723055 -0.96729718]],497,565
,[[ 0.02904623  0.2281684  -0.97216366]],628,519
,[[ 0.04505928  0.22302141 -0.97012065]],549,502
,[[ 0.03377586  0.22099518 -0.97287551]],602,490
,[[ 0.06308523  0.22841843 -0.96990762]],456,532
,[[ 0.0167576   0.22278764 -0.9735831 ]],679,501
,[[ 0.00582015  0.22038425 -0.97089829]],731,492
,[[ 0.00939318  0.21959393 -0.96811711]],713,493
,[[ 0.02894991  0.21076039 -0.96919761]],618,452
,[[ 0.00339093  0.21362908 -0.96802376]],742,465
,[[ 0.01558882  0.19284862 -0.97635959]],683,362
,[[ 0.03019462  0.20455824 -0.97384264]],613,420
,[[ 0.04162142  0.18359888 -0.97825829]],560,313
,[[ 0.04781391  0.20562955 -0.97287667]],530,424
,[[ 0.07535062  0.1878209  -0.97318094]],400,338
,[[ 0.06638105  0.20005773 -0.97398996]],444,396
,[[ 0.05512695  0.19194445 -0.97563857]],501,356
,[[ 0.01853904  0.21484498 -0.9748693 ]],678,466
,[[ 0.02786646  0.22746209 -0.97261055]],636,531
,[[ 0.02142138  0.20485562 -0.9778575 ]],669,417
,[[ 0.01891068  0.19856382 -0.97687909]],683,390
,[[ 0.03913075  0.19494363 -0.9742945 ]],585,376
,[[ 0.02847096  0.19872661 -0.97379696]],636,396
,[[ 0.02660737  0.19678317 -0.97454419]],647,383
,[[ 0.00746502  0.20602281 -0.97512894]],738,429
,[[ 0.0110988   0.20202921 -0.97562359]],721,412
