,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
197,197,811,417,811,417,860,366
198,198,796,424,796,424,845,374
199,199,787,427,787,427,836,377
200,200,783,445,783,445,833,396
201,201,782,439,782,439,831,390
202,202,786,385,786,385,835,333
203,203,778,411,778,411,827,360
204,204,777,371,777,371,825,319
205,205,776,331,776,331,820,278
206,206,777,294,777,294,816,242
207,207,778,297,778,297,818,245
208,208,776,274,776,274,812,224
209,209,776,257,776,257,808,208
210,210,771,281,771,281,808,230
211,211,780,304,780,304,820,252
212,212,792,311,792,311,833,259
213,213,777,333,777,333,821,280
214,214,765,375,765,375,813,323
215,215,758,372,758,372,807,319
216,216,757,346,757,346,803,293
217,217,762,325,762,325,806,272
218,218,781,207,781,207,801,163
219,219,769,213,769,213,792,168
220,220,768,306,768,306,809,254
221,221,764,398,764,398,813,346
222,222,756,472,756,472,804,425
223,223,761,514,761,514,805,472
224,224,738,308,738,308,781,256
225,225,733,261,733,261,769,213
226,226,756,232,756,232,784,186
227,227,752,258,752,258,786,209
228,228,732,261,732,261,768,212
229,229,712,273,712,273,751,224
230,230,707,262,707,262,744,214
231,231,710,242,710,242,744,196
232,232,715,267,715,267,753,218
233,233,725,294,725,294,767,244
234,234,727,324,727,324,772,272
235,235,728,319,728,319,773,267
236,236,736,303,736,303,778,252
237,237,749,284,749,284,788,234
238,238,773,251,773,251,804,203
239,239,781,220,781,220,805,175
240,240,795,227,795,227,820,181
241,241,834,237,834,237,858,189
242,242,850,254,850,254,877,204
243,243,872,268,872,268,900,218
244,244,878,270,878,270,907,220
245,245,881,305,881,305,916,253
246,246,890,317,890,317,927,266
247,247,894,326,894,326,932,275
248,248,909,315,909,315,945,265
249,249,928,304,928,304,961,254
250,250,928,284,928,284,956,234
251,251,925,259,925,259,947,211
252,252,914,265,914,265,939,216
253,253,912,276,912,276,939,226
254,254,907,289,907,289,938,239
255,255,902,306,902,306,937,255
256,256,910,297,910,297,942,246
257,257,910,302,910,302,943,251
258,258,906,296,906,296,938,246
259,259,901,288,901,288,932,237
260,260,903,277,903,277,932,227
261,261,904,269,904,269,930,219
262,262,898,290,898,290,930,240
263,263,912,281,912,281,940,231
