frame,res,X,Y
,[[ 0.01215954  0.14912022 -0.98574351]],502,181
,[[ 0.00401428  0.14151314 -0.98824059]],522,164
,[[ 1.33492375e-04  1.70168329e-01 -9.84459216e-01]],531,230
,[[ 0.0068368   0.18735264 -0.98153887]],517,269
,[[-0.0395165   0.18201543 -0.98189376]],621,259
,[[-0.03724608  0.18781219 -0.9810634 ]],616,272
,[[-0.03024085  0.18900732 -0.98130902]],601,274
,[[-0.06822843  0.2328159  -0.96399494]],690,403
,[[-0.03834813  0.19324187 -0.98004056]],619,288
,[[-0.03604532  0.16398223 -0.98568273]],612,222
,[[-0.08500572  0.21544598 -0.97146163]],728,373
,[[-0.08326828  0.22196018 -0.97110553]],724,397
,[[-0.05175496  0.27923413 -0.95880038]],651,549
,[[-0.08559772  0.25417109 -0.96239537]],730,481
,[[-0.06115673  0.24209901 -0.96698746]],671,445
,[[-0.11269224  0.16887292 -0.9787047 ]],788,258
,[[-0.0943797   0.20193495 -0.97222301]],746,344
,[[-0.06644005  0.16176782 -0.98349286]],679,240
,[[-0.1000098   0.18886257 -0.97358993]],759,305
,[[-0.09049972  0.18356    -0.97669699]],734,290
,[[-0.10075797  0.17131582 -0.97837597]],758,262
,[[-0.07845412  0.177705   -0.97800973]],706,276
,[[-0.0985558   0.17427798 -0.9783888 ]],752,269
,[[-0.10993994  0.18466966 -0.97557362]],780,297
,[[-0.10076928  0.18864484 -0.97455726]],759,303
,[[-0.10464398  0.18739615 -0.97413808]],767,298
,[[-0.07628631  0.17134969 -0.98220886]],701,263
,[[-0.08823714  0.19570902 -0.97614927]],730,323
,[[-0.0683419   0.18049001 -0.98084861]],683,283
,[[-0.0934225   0.18205944 -0.97789446]],741,288
,[[-0.09783019  0.20378842 -0.97410288]],752,346
,[[-0.10349788  0.19541208 -0.97495872]],767,328
,[[-0.07223229  0.1903653  -0.97896577]],692,310
,[[-0.08852468  0.21308152 -0.97297095]],730,368
,[[-0.03418977  0.20323814 -0.97795443]],605,345
,[[-0.0716874   0.20184396 -0.97677477]],692,339
,[[-0.06467852  0.21625967 -0.97400501]],677,375
,[[-0.03212263  0.22973112 -0.97255205]],601,408
,[[-0.03629769  0.22059671 -0.97466658]],613,386
,[[-0.03372358  0.2329879  -0.97098298]],608,413
,[[-0.02218234  0.19603807 -0.98017947]],580,325
,[[-0.01186247  0.2007923  -0.97932929]],557,337
,[[-0.04314071  0.19723038 -0.97887053]],627,327
,[[-0.03660084  0.19259389 -0.98025387]],613,317
,[[-0.05357305  0.19002579 -0.98008884]],650,310
,[[-0.02987903  0.18082751 -0.98298034]],595,289
,[[-0.05399167  0.1745788  -0.98306741]],650,273
,[[-0.05937734  0.18662493 -0.98030353]],663,305
,[[-0.03338333  0.20322402 -0.97656116]],601,345
,[[-0.02062357  0.18932668 -0.98148155]],573,306
,[[-0.02387426  0.19918574 -0.97924059]],580,333
,[[ 0.02999336  0.17515049 -0.98367402]],453,283
,[[ 0.02412022  0.1586239  -0.98662946]],469,237
,[[-0.00424741  0.1863441  -0.98178776]],532,306
,[[ 0.0217747   0.20725204 -0.97731764]],473,352
,[[ 0.00754851  0.21381402 -0.97592644]],505,374
,[[-0.00766866  0.20364589 -0.9780467 ]],539,345
,[[-0.01061062  0.22222186 -0.97480459]],546,391
,[[-0.01832589  0.22488084 -0.97379236]],563,400
,[[-0.03642137  0.22847279 -0.9727807 ]],604,410
,[[-0.06241372  0.22697    -0.97090473]],666,410
,[[-0.05116869  0.21752001 -0.97409107]],639,384
,[[-0.0394043   0.21670279 -0.97474396]],612,378
,[[-0.01100143  0.1918732  -0.97803246]],548,314
,[[ 0.00337526  0.19124988 -0.97903508]],518,315
,[[ 0.01219177  0.19634133 -0.97905552]],499,325
,[[-0.01137853  0.18801336 -0.98079046]],557,304
,[[-0.01380766  0.20561712 -0.97813456]],564,349
,[[ 0.00184329  0.20413453 -0.97850367]],535,345
,[[-0.00135699  0.18678037 -0.9815327 ]],547,306
,[[ 0.01259117  0.15434538 -0.98729718]],518,227
,[[-0.00370343  0.15162997 -0.9864369 ]],559,220
,[[ 0.04656808  0.17823735 -0.98223229]],443,288
,[[-0.00538439  0.18826675 -0.98182523]],562,312
,[[-0.06143701  0.21447584 -0.97403472]],691,384
,[[-0.06955258  0.22718674 -0.97067229]],710,415
,[[-0.06504991  0.22145018 -0.97107587]],700,390
,[[-0.11500314  0.20635991 -0.97158127]],817,364
,[[-0.12225181  0.22993466 -0.96399777]],837,421
,[[-0.11151649  0.22112987 -0.96856165]],812,397
,[[-0.12389011  0.22833045 -0.96357281]],841,410
,[[-0.12204026  0.231126   -0.96450774]],840,425
,[[-0.09920265  0.20936326 -0.97197371]],782,369
,[[-0.09426867  0.20783808 -0.97356855]],773,366
,[[-0.12544553  0.2213584  -0.96681759]],848,403
,[[-0.10437065  0.20679987 -0.97224316]],794,363
,[[-0.12677245  0.21261705 -0.96843515]],849,382
,[[-0.12135225  0.19856093 -0.97248103]],834,346
,[[-0.12291015  0.19424947 -0.97211838]],836,334
,[[-0.11015897  0.18602786 -0.97611057]],808,319
,[[-0.10079657  0.22105967 -0.96987924]],785,400
,[[-0.12385287  0.19991748 -0.97188513]],838,349
,[[-0.1236328   0.19543408 -0.97265468]],838,335
,[[-0.12159945  0.18486728 -0.97463885]],833,313
,[[-0.13382578  0.17025826 -0.97556163]],862,279
,[[-0.10755119  0.21498189 -0.97007269]],801,386
,[[-0.08934892  0.22270832 -0.96923454]],760,405
,[[-0.08060898  0.20477986 -0.9744436 ]],738,355
,[[-0.09355229  0.20800582 -0.97195162]],767,366
,[[-0.125293    0.16039252 -0.97810417]],836,253
,[[-0.11957031  0.16951318 -0.97801151]],825,278
,[[-0.09930132  0.16523932 -0.9811558 ]],778,266
,[[-0.09852933  0.16224463 -0.98169995]],776,260
,[[-0.07922727  0.17180515 -0.98155027]],731,282
,[[-0.09383994  0.14918326 -0.98425601]],764,227
,[[-0.10770132  0.16762622 -0.97934902]],795,270
,[[-0.11982416  0.15957454 -0.97940732]],823,250
,[[-0.08496069  0.19345889 -0.97672436]],745,331
,[[-0.11880645  0.18427038 -0.97544407]],824,312
,[[-0.10245578  0.18573015 -0.97704676]],786,316
,[[-0.10070854  0.18381278 -0.97760916]],779,307
,[[-0.11895857  0.1817922  -0.97608167]],821,303
,[[-0.13889266  0.19883687 -0.96952323]],872,350
,[[-0.12985854  0.17704375 -0.97520045]],848,293
,[[-0.11033816  0.18218338 -0.97701676]],801,303
,[[-0.10067964  0.18438487 -0.97766847]],779,308
,[[-0.1041334   0.18011057 -0.97783148]],787,298
,[[-0.15588915  0.19588599 -0.96770251]],910,341
,[[-0.12597916  0.20140461 -0.97100556]],839,353
,[[-0.06852169  0.20450751 -0.97610224]],706,358
,[[-0.07312385  0.19170428 -0.97739718]],716,326
,[[-0.11519574  0.19493894 -0.97304586]],811,333
,[[-0.08269447  0.21425738 -0.97302122]],739,380
,[[-0.10741624  0.20600456 -0.97238764]],795,362
,[[-0.05219559  0.19569526 -0.97924953]],669,332
,[[-0.05582894  0.18892928 -0.97950872]],677,320
,[[-0.05260093  0.20744795 -0.97530599]],671,365
,[[-0.04879343  0.2012678  -0.97788335]],662,346
,[[-0.03533105  0.19906119 -0.97778361]],630,345
,[[-0.00138661  0.21977959 -0.97391677]],550,395
,[[-0.00318897  0.21448903 -0.9748336 ]],555,377
,[[-0.02854323  0.2055476  -0.97651923]],612,358
,[[-0.02028256  0.18437864 -0.9812645 ]],595,314
,[[ 0.0046898   0.20247329 -0.9772266 ]],537,355
,[[ 0.01693579  0.18123516 -0.98306604]],510,299
,[[ 0.03775681  0.19511725 -0.97961362]],461,336
,[[ 0.00183869  0.19339368 -0.97890371]],542,330
,[[ 0.01301767  0.19694649 -0.97952068]],517,341
,[[ 0.01555584  0.19129603 -0.98107625]],512,327
,[[-0.00155008  0.1922149  -0.98050413]],550,328
,[[ 0.01265272  0.191146   -0.98078897]],518,332
,[[ 0.01518285  0.1865483  -0.98196202]],513,321
,[[ 0.04701992  0.17341175 -0.98368323]],439,287
,[[ 0.03791067  0.16996487 -0.98452008]],462,275
,[[ 0.02143865  0.1893807  -0.98132879]],496,326
