frame,res,X,Y
,[[-0.09052012  0.14266457 -0.98371316]],756,520
,[[-0.16941423  0.12614198 -0.97458861]],995,478
,[[-0.17276567  0.12014345 -0.97275461]],1005,467
,[[-0.18088087  0.12194309 -0.97152694]],1029,470
,[[-0.16894005  0.15493553 -0.970576  ]],993,569
,[[-0.15678409  0.17306779 -0.97022884]],958,621
,[[-0.16472424  0.16541613 -0.97066712]],986,606
,[[-0.1687989   0.14612709 -0.9729459 ]],996,547
,[[-0.20255144  0.12863051 -0.96475068]],1097,495
,[[-0.17525278  0.1106593  -0.97055572]],1012,438
,[[-0.18005477  0.11989922 -0.96876216]],1026,459
,[[-0.16939308  0.1132723  -0.9685978 ]],996,439
,[[-0.18063818  0.08214303 -0.96742679]],1030,342
,[[-0.13101114  0.09259941 -0.97563335]],879,374
,[[-0.12327202  0.11350142 -0.97628377]],854,436
,[[-0.14447004  0.10126011 -0.97685941]],917,403
,[[-0.13744754  0.08242605 -0.97203169]],897,338
,[[-0.10147532  0.11233239 -0.9731538 ]],792,429
,[[-0.11511027  0.11493042 -0.97065296]],837,440
,[[-0.09487515  0.12410356 -0.97123871]],776,467
,[[-0.14675144  0.09694687 -0.9715748 ]],927,389
,[[-0.13332369  0.08965875 -0.9714079 ]],889,373
,[[-0.11715245  0.10726445 -0.97032958]],839,422
,[[-0.12154903  0.0830538  -0.97482336]],853,344
,[[-0.04581363  0.07981319 -0.98111949]],628,331
,[[-0.06920003  0.09189774 -0.9771626 ]],697,370
,[[-0.08202342  0.07183016 -0.97950627]],733,312
,[[-0.12546072  0.07592241 -0.97321473]],861,331
,[[-0.10925705  0.09172368 -0.97376974]],811,374
,[[-0.08949877  0.11533796 -0.97687793]],752,437
,[[-0.07245689  0.10605064 -0.97666707]],703,408
,[[-0.06311346  0.11012102 -0.977829  ]],676,422
,[[-0.0760677   0.11179325 -0.97788856]],714,432
,[[-0.05549116  0.10835494 -0.98107978]],651,427
,[[-0.0833867   0.07864793 -0.97760194]],731,335
,[[-0.10295139  0.09296832 -0.97628813]],792,378
,[[-0.11496848  0.08810286 -0.98468625]],826,359
,[[-0.10636126  0.08897249 -0.98490166]],802,366
,[[-0.1423552   0.09543573 -0.98058475]],909,387
,[[-0.12053826  0.10103445 -0.98268995]],843,403
,[[-0.1226788   0.10478596 -0.97820839]],852,411
,[[-0.13685605  0.10861818 -0.97607947]],896,422
,[[-0.13296529  0.11463912 -0.97620338]],885,435
,[[-0.13595473  0.11482736 -0.97389111]],896,442
,[[-0.13136152  0.09779255 -0.97623005]],881,391
,[[-0.13338554  0.10734259 -0.97660341]],886,423
,[[-0.15257397  0.10255228 -0.97570717]],943,405
,[[-0.16742365  0.12804986 -0.96841035]],991,478
,[[-0.16638761  0.11588689 -0.97254603]],987,441
,[[-0.16319141  0.11635652 -0.97090935]],979,448
,[[-0.17902658  0.10317606 -0.97086654]],1025,416
,[[-0.17272174  0.10440816 -0.97424727]],1003,420
,[[-0.18243058  0.10371378 -0.9734341 ]],1033,414
,[[-0.18313533  0.09991122 -0.96914245]],1039,401
,[[-0.17659949  0.10152187 -0.96982669]],1018,401
,[[-0.19550829  0.10468003 -0.96475878]],1080,418
,[[-0.18917841  0.10537447 -0.9688119 ]],1060,426
,[[-0.18440733  0.11521487 -0.96578478]],1044,456
,[[-0.20580131  0.1075741  -0.96533604]],1107,429
,[[-0.20462468  0.11622152 -0.96616038]],1104,451
,[[-0.22342834  0.07166979 -0.96780052]],1156,312
,[[-0.21079937  0.07658993 -0.96888055]],1121,330
,[[-0.22457261  0.0845764  -0.96393468]],1164,358
,[[-0.21081732  0.1010457  -0.9664477 ]],1120,409
,[[-0.20900426  0.10285974 -0.96609975]],1111,412
,[[-0.22809182  0.11003184 -0.96157279]],1179,438
,[[-0.19655206  0.11589483 -0.96577213]],1073,445
,[[-0.2084107   0.11520476 -0.96111942]],1114,446
,[[-0.21100071  0.1322129  -0.96181626]],1121,502
,[[-0.16489948  0.11312928 -0.97337084]],977,445
,[[-0.12676017  0.0981649  -0.98094788]],858,392
,[[-0.11511088  0.10351497 -0.97936022]],827,406
,[[-0.06476737  0.088935   -0.98574389]],678,360
,[[-0.12155681  0.0880187  -0.97751387]],848,360
,[[-0.10967291  0.09658685 -0.9725617 ]],815,389
,[[-0.08283123  0.09003941 -0.98264975]],733,368
,[[-0.12445562  0.10748997 -0.97860197]],855,418
,[[-0.1039898   0.08652233 -0.98446938]],793,351
,[[-0.09503444  0.08814572 -0.98609269]],768,355
,[[-0.08056664  0.07400072 -0.98490733]],728,314
,[[-0.03709195  0.07799698 -0.98918874]],601,329
,[[-0.09138923  0.06836225 -0.98420791]],758,304
,[[-0.09202365  0.09010606 -0.98076483]],759,368
,[[-0.09319127  0.09949544 -0.98027686]],763,393
,[[-0.09186476  0.11416362 -0.98067151]],760,433
,[[-0.11253379  0.1318108  -0.97914215]],822,487
,[[-0.10535898  0.11460147 -0.98371191]],799,437
,[[-0.10772411  0.12424768 -0.9807937 ]],807,471
,[[-0.10421692  0.14239374 -0.97959439]],796,524
,[[-0.07960732  0.14863877 -0.98323434]],722,537
,[[-0.11030196  0.14202749 -0.98148771]],812,516
,[[-0.07767833  0.14022048 -0.98502654]],717,514
,[[-0.1276698   0.13760991 -0.97745425]],867,507
,[[-0.12265809  0.14808964 -0.97863524]],851,545
,[[-0.1631645   0.11985134 -0.97653587]],971,461
,[[-0.14888621  0.14478285 -0.97602102]],929,531
,[[-0.12481615  0.15565932 -0.97882477]],856,555
,[[-0.12851451  0.13703415 -0.98137257]],869,501
,[[-0.10705239  0.17133029 -0.97797615]],807,606
,[[-0.150073    0.15422186 -0.97479637]],934,560
,[[-0.14560277  0.10371846 -0.97791396]],920,413
,[[-0.14331313  0.12892777 -0.97491612]],912,486
,[[-0.18852318  0.16080003 -0.96751206]],1052,589
,[[-0.15833092  0.15800354 -0.97346147]],961,582
,[[-0.1567638   0.17064311 -0.97021088]],957,623
,[[-0.16841643  0.16258537 -0.97194779]],991,600
,[[-0.12848829  0.12992699 -0.98253067]],865,498
,[[-0.16609689  0.14233731 -0.97563246]],978,534
,[[-0.17435115  0.1126899  -0.97738821]],1002,434
,[[-0.14112906  0.14054808 -0.97354733]],905,512
,[[-0.24574375  0.17135069 -0.94992572]],1229,605
,[[-0.26071     0.17254645 -0.94830766]],1278,615
,[[-0.25485045  0.1631018  -0.95103072]],1256,584
,[[-0.22083588  0.15933708 -0.96088716]],1148,571
,[[-0.22223341  0.17618421 -0.95680855]],1156,622
,[[-0.22318026  0.21665759 -0.94851617]],1161,743
,[[-0.25169643  0.20080917 -0.94503483]],1252,699
,[[-0.2234111   0.18621768 -0.95531256]],1156,650
,[[-0.21384837  0.19515713 -0.95537595]],1127,680
