frame,res,X,Y
,[[-0.03378334  0.31597803 -0.94781748]],546,553
,[[-0.0247332   0.31226873 -0.94918204]],527,541
,[[-0.01589124  0.30789642 -0.95108616]],508,523
,[[ 0.00415456  0.29020477 -0.95492946]],463,499
,[[-0.03740981  0.30068118 -0.95169377]],560,520
,[[-0.00720695  0.30758708 -0.95026219]],492,539
,[[-0.01959779  0.29163406 -0.95497598]],521,493
,[[-5.94777430e-05  3.08205169e-01 -9.48274436e-01]],479,530
,[[-0.03701237  0.3282874  -0.94107443]],570,566
,[[-0.00648615  0.31332765 -0.94860831]],503,508
,[[-0.02689609  0.31582098 -0.94788419]],549,511
,[[-0.08399787  0.20644041 -0.97176681]],675,246
,[[-0.18583132  0.24119899 -0.95228081]],905,332
,[[-0.1233918   0.2048331  -0.97037498]],762,238
,[[-0.12898403  0.1364993  -0.98216345]],783,76
,[[-0.12600139  0.16916857 -0.97682732]],779,149
,[[-0.09898663  0.15359995 -0.9818588 ]],718,111
,[[-0.07529599  0.13518102 -0.98745964]],665,70
,[[-0.07721329  0.16803786 -0.98228892]],670,146
,[[-0.121845    0.20592427 -0.96914067]],758,247
,[[-0.08865315  0.19863185 -0.97491341]],684,228
,[[-0.13455579  0.21824517 -0.96537817]],786,272
,[[-0.13141447  0.21424625 -0.96578064]],779,264
,[[-0.13111269  0.21627911 -0.9658748 ]],780,267
,[[-0.15649471  0.20245557 -0.96643452]],835,240
,[[-0.15335191  0.22558298 -0.96143319]],829,296
,[[-0.16305042  0.22160735 -0.96019137]],852,285
,[[-0.09838734  0.29427265 -0.94793383]],711,464
,[[-0.08134671  0.30572696 -0.94456264]],673,503
,[[-0.05973448  0.31061644 -0.94751347]],621,510
,[[-0.11011149  0.31266135 -0.94313768]],738,522
,[[-0.05349582  0.31100133 -0.9473783 ]],608,503
,[[-0.06859541  0.31355926 -0.94694289]],642,505
,[[ 0.00534542  0.29975545 -0.95374649]],480,467
,[[-0.0182949   0.24700273 -0.96720632]],534,334
,[[-0.08119277  0.17226385 -0.97909698]],675,161
,[[-0.14488826  0.13503522 -0.97944067]],821,74
,[[-0.06661448  0.17695343 -0.98176818]],646,166
,[[-0.12594077  0.15877174 -0.97846901]],782,121
,[[-0.11167928  0.14842308 -0.98253623]],744,100
,[[-0.10917489  0.19048324 -0.97539265]],743,197
,[[-0.0439783   0.22667317 -0.96864113]],595,286
,[[-0.10006235  0.28626373 -0.94913708]],728,439
,[[-0.14494515  0.31276768 -0.93736298]],841,515
,[[-0.08923519  0.31679473 -0.9438605 ]],707,521
,[[-0.07954386  0.3109568  -0.94552324]],681,508
,[[-0.13234051  0.28684847 -0.94697991]],801,441
,[[-0.15425981  0.33187906 -0.92634879]],863,568
,[[-0.07524872  0.29161869 -0.95038347]],666,453
,[[-0.02418827  0.31705569 -0.9478988 ]],548,513
,[[-0.08183657  0.25634827 -0.96102535]],679,360
,[[-0.1202334   0.18390757 -0.9753958 ]],764,187
,[[-0.0558083   0.23895824 -0.9664042 ]],617,314
,[[-0.09330941  0.18990647 -0.97467433]],702,196
,[[-0.10274742  0.18400994 -0.97618329]],720,181
,[[-0.12057502  0.21230969 -0.96910831]],768,251
,[[-0.12355832  0.20211652 -0.970147  ]],771,225
,[[-0.13054121  0.19667895 -0.97044671]],791,218
,[[-0.1179005   0.21813684 -0.96868129]],762,269
,[[-0.071228    0.22604299 -0.97067767]],653,284
,[[-0.10939279  0.25801369 -0.95883016]],742,366
,[[-0.11593937  0.24509196 -0.96183457]],758,339
,[[-0.08340356  0.27024497 -0.95904278]],684,392
,[[-0.1373503   0.26214194 -0.95509713]],794,381
,[[-0.11991371  0.25103003 -0.95993451]],752,361
,[[-0.10849943  0.22990729 -0.96607572]],725,298
,[[-0.11280903  0.20777    -0.97126421]],735,250
,[[-0.1273475   0.21991298 -0.96609233]],767,279
,[[-0.13312222  0.22502342 -0.96343084]],781,292
,[[-0.1433343   0.22647779 -0.96185732]],804,298
,[[-0.14446345  0.24115969 -0.95936004]],806,331
,[[-0.15624012  0.21624545 -0.9620015 ]],834,272
,[[-0.14904698  0.20734307 -0.96670271]],818,252
,[[-0.17539006  0.22946602 -0.9571023 ]],880,307
,[[-0.17879858  0.23215003 -0.95586207]],907,313
,[[-0.16006663  0.1880873  -0.96755391]],859,204
,[[-0.18460334  0.21982337 -0.95713102]],915,282
,[[-0.16135904  0.19269117 -0.96717246]],841,211
,[[-0.16336849  0.18453325 -0.96671975]],866,188
,[[-0.15930994  0.19877437 -0.96538849]],857,224
