,subb,trial_latencies,num_of_blinks,blink_durations,avg_latency,avg_blinks_per_trial,avg_blink_duration
10,s75,"{1: array([300, 266, 233, 266, 300, 300, 266]), 2: array([ nan, 300., 267., 300., 333., 400., 400.]), 3: array([368,  33, 234, 268, 268, 234, 335]), 4: array([367, 200, 267, 333, 333, 333, 300]), 5: array([300, 200, 267, 200, 334, 234, 334]), 6: array([333, 300, 300, 266, 266, 266, 333]), 7: array([233, 267, 367, 333, 333, 500, 233]), 8: array([333, 333, 199, 299, 299, 333, 299]), 9: array([267, 267, 300, 234, 300, 434, 267]), 10: array([267, 334, 334, 301, 301, 334, 301])}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 6, 6: 7, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([600, 600, 466, 333, 433, 566, 333, 100]), 2: array([600, 467, 367, 367, 333, 200, 267, 166, 166]), 3: array([737, 603, 603, 402, 435, 570, 368,  67, 134]), 4: array([467, 400, 333, 467, 300, 267, 300, 267]), 5: array([535, 367, 568, 267, 300, 568, 367, 200]), 6: array([666, 366, 300, 266, 333, 266, 300, 266,  66]), 7: array([567, 400, 567, 367, 300, 333, 400]), 8: array([832, 399, 366, 299, 333, 299, 333, 266,  99, 233]), 9: array([635, 401, 468, 401, 434, 401, 434]), 10: array([668, 635, 602, 401, 401, 434, 301])}",295.72463768115944,6.6,391.8658536585366
11,s71,"{1: array([234, 268, 301, 369, 301, 301, 436]), 2: array([334, 267, 301, 301, 200, 267, 301]), 3: array([267, 301, 301, 200, 234, 301, 334]), 4: array([268, 167, 268, 268, 302,  33, 335]), 5: array([267., 301.,  nan, 100.,  66., 301., 234.]), 6: array([702, 267, 301, 334, 267, 334, 267]), 7: array([302, 268, 268, 268, 100, 369, 436]), 8: array([268, 301, 335, 301, 335, 268, 301]), 9: array([268, 268, 301, 368, 335, 301, 201]), 10: array([268, 201, 336, 369, 369, 336, 336])}","{1: 7, 2: 6, 3: 6, 4: 6, 5: 6, 6: 7, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([771, 436, 369, 436, 301, 402, 369, 201]), 2: array([435, 435, 401, 368, 368, 368, 401, 334]), 3: array([702, 568, 535, 334, 401, 334, 435]), 4: array([705, 470, 470, 335, 436, 402, 436]), 5: array([669, 602, 468, 635, 401, 401, 267, 267]), 6: array([435, 401, 468, 368, 368, 435, 334, 267, 267, 267]), 7: array([604, 537, 705, 403, 268, 369, 503]), 8: array([435, 435, 368, 402, 368, 167, 301, 335]), 9: array([838, 670, 469, 368, 603, 301, 234]), 10: array([773, 437, 537, 403, 268, 504, 369])}",289.05797101449275,6.2,428.1818181818182
12,s2,"{1: array([1199., 1066.,   99.,  133.,   nan,   nan,   66.]), 2: array([266., 266.,  nan,  66., 632., 332., 233.]), 3: array([ 199, 1165,  266,  599, 1532,  599,  266]), 4: array([232.,  66., 299., 199., 366., 199.,  nan]), 5: array([ 333,   99, 1066,  133,  199,  199,   33]), 6: array([233, 333,  66, 699, 299, 299,  99]), 7: array([232, 365, 365, 331, 265, 232, 132]), 8: array([299, 233, 533, 433, 299, 266, 433]), 9: array([1332,  633,  133,  366,  499,  599,   99]), 10: array([233., 200., 166.,  nan, 200., 300., 300.])}","{1: 8, 2: 8, 3: 8, 4: 7, 5: 10, 6: 8, 7: 9, 8: 7, 9: 9, 10: 6}","{1: array([866, 733, 733, 566, 666, 499, 566, 166, 166,  99]), 2: array([632, 466, 599, 432, 399, 532,  66, 366, 133, 233]), 3: array([799, 533, 699, 399, 433, 766,  99, 399, 333, 199, 166]), 4: array([865, 665, 632, 432, 532, 499, 698, 366,  66]), 5: array([599, 499, 533, 499, 333, 433, 466,  99, 266, 199, 166,  66]), 6: array([766, 866, 633, 566, 533, 599, 633, 333, 333, 166]), 7: array([796, 597, 497, 597, 232, 298, 199, 398, 232, 232]), 8: array([666, 566, 566, 466, 266, 399, 366,  66, 266]), 9: array([766, 699, 633, 166, 433, 399, 599,  99,  66, 299, 199, 166]), 10: array([633, 566, 466, 333, 600, 466, 466])}",322.2307692307692,8.0,436.78
13,s46,"{1: array([ 510.,   nan,   nan, 1055.,  306., 1396.,  340.]), 2: array([368., 871., 670., 904.,  nan, 469.,  nan]), 3: array([466.,  nan,  nan,  66., 699., 233., 699.]), 4: array([ 266,  898,  365, 1164,   33, 1263,   99]), 5: array([ 599.,   nan,   nan, 1231.,  865.,  998., 1131.]), 6: array([ 800., 1033., 1500., 1466.,  200.,  200.,   nan]), 7: array([ 566.,   nan, 1299.,  799.,  633.,  333.,   nan]), 8: array([ 799.,   nan,   nan,   nan, 1398., 1631.,   nan]), 9: array([103., 900.,  nan,  nan,  69.,  nan,  34.]), 10: array([ 600,  500,  300,  166,  166, 1334, 1067])}","{1: 8, 2: 9, 3: 7, 4: 13, 5: 5, 6: 8, 7: 7, 8: 3, 9: 8, 10: 9}","{1: array([613, 510, 749, 545, 408, 579, 510, 510,  68, 136]), 2: array([636, 469, 469, 402, 335, 402, 368, 167, 100, 100, 335, 268]), 3: array([699, 932, 632, 499, 299,  66, 399, 432]), 4: array([532, 665, 532, 498, 432, 498, 399, 498, 266, 199, 299,  66, 399,
       365,  99, 133]), 5: array([832, 466, 699, 233, 432, 133, 665, 133, 432,  99]), 6: array([600, 600, 566, 700, 500, 466, 300, 500,  66, 333, 366, 133]), 7: array([799, 466, 333, 466,  99, 266, 433, 433]), 8: array([665, 532, 233,  66, 432,  66]), 9: array([796, 450, 346, 450, 311, 311, 103, 138, 276, 242, 138]), 10: array([834, 467, 667, 433, 333, 166, 166, 200, 300, 200, 100,  66])}",679.8653846153846,7.5,378.42857142857144
14,s23,"{1: array([200, 334, 401, 100, 334, 334,  66]), 2: array([335, 570, 335, 402, 268, 570, 302]), 3: array([501, 267, 568, 267,  33, 501, 501]), 4: array([401, 301, 301, 301, 301, 334,  33]), 5: array([234., 268., 234., 268., 268.,  nan, 268.]), 6: array([468., 334.,  nan, 301., 368., 100., 435.]), 7: array([203, 440, 237, 237, 440, 271, 508]), 8: array([302., 201., 469., 335., 268.,  nan, 335.]), 9: array([267, 301, 267, 301,  66, 234, 401]), 10: array([335, 268, 301, 268, 301, 301, 301])}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 6, 6: 7, 7: 6, 8: 7, 9: 6, 10: 6}","{1: array([635, 635, 435, 501, 368, 435, 368, 267, 167, 100]), 2: array([805, 772, 469, 839, 637, 302, 436, 402, 302]), 3: array([668, 534, 802, 635, 601, 133, 568, 601, 601, 467]), 4: array([502, 468, 368, 368, 267, 368, 368, 334]), 5: array([502, 502, 502, 469, 402, 402, 335, 335]), 6: array([736, 636, 267, 334, 334, 267, 234, 200, 267]), 7: array([474, 440, 406, 440, 305, 372, 305, 305]), 8: array([906, 503, 637, 335, 302, 302, 234, 268, 268]), 9: array([703, 468, 468, 368, 234, 267, 368, 200]), 10: array([536, 502, 435, 335, 435, 368, 368, 301])}",320.2238805970149,6.7,424.2413793103448
15,s59,"{1: array([ 632.,   nan,  799., 1365.,  233.,   nan,  999.]), 2: array([ 799.,  733.,   nan,  366., 1366.,  199., 1232.]), 3: array([ 733,  533,   66,  366, 1000,  400,  300]), 4: array([233.,  nan, 466., 399.,  33., 399., 332.]), 5: array([ 567, 1836, 1301,  801,  634,  968,  400]), 6: array([ 734,  667, 1134,  333,  300,  834,  968]), 7: array([ 933.,   nan,   nan,  533., 1700., 1067.,  366.]), 8: array([ 699, 1099,  899,  399,   66,  832, 1032]), 9: array([ 765, 1065,  466,  166,  499,  732,   99]), 10: array([933, 466,  33, 800, 400, 400, 767])}","{1: 7, 2: 8, 3: 9, 4: 8, 5: 9, 6: 11, 7: 4, 8: 10, 9: 13, 10: 10}","{1: array([732, 499, 432, 632, 399, 366,  66, 333, 133]), 2: array([666, 499, 633, 266, 366, 466, 399, 133, 199, 199,  66]), 3: array([733, 600, 500, 700, 466, 566, 400, 200, 100, 233, 466, 400]), 4: array([765, 699, 665, 432, 432, 199, 366, 399, 266, 233, 399, 133]), 5: array([767, 734, 500, 667, 333, 433, 534, 400,  66, 333, 200,  66, 133]), 6: array([567, 467, 433, 433, 567, 333, 200, 433, 367,  66, 267, 200, 133]), 7: array([666, 566, 100, 466, 100]), 8: array([766, 666, 766, 533, 233, 333, 533, 266, 299, 133, 233, 233, 299]), 9: array([665, 599, 432, 599, 466, 299, 199, 366, 566, 366, 199, 166, 166,
        99, 166, 266, 166]), 10: array([733, 533, 500, 500, 333, 433, 366, 233, 300, 166, 200, 133, 400,
        66])}",647.046875,9.0,379.3193277310924
16,s39,"{1: array([334, 368, 368, 401, 435, 368, 435]), 2: array([268, 335, 402, 402, 402, 435, 402]), 3: array([267, 368, 334, 368, 368, 334, 334]), 4: array([434, 400, 434, 367, 400, 367, 434]), 5: array([401,  33, 133, 334, 367, 167,  33]), 6: array([267, 333, 300, 333, 233, 333, 367]), 7: array([367, 434, 434, 400, 333, 367, 300]), 8: array([234, 300,  66, 434, 468, 401, 367]), 9: array([400, 333, 333, 367, 333, 367, 434]), 10: array([401, 368, 435, 301, 368, 334, 100])}","{1: 6, 2: 7, 3: 7, 4: 6, 5: 7, 6: 7, 7: 8, 8: 7, 9: 7, 10: 7}","{1: array([702, 602, 468, 435, 401, 401, 468,  66]), 2: array([837, 536, 402, 402, 368, 268, 335, 134]), 3: array([535, 468, 401, 301, 401, 401, 334, 100,  66, 100]), 4: array([634, 534, 567, 434, 400, 334, 267]), 5: array([702, 702, 635, 300, 668, 434, 334,  66,  66]), 6: array([801, 567, 400, 433, 433, 333, 433, 267, 267]), 7: array([534, 500, 434, 367, 500, 300, 300,  66,  66, 300, 333]), 8: array([601, 534, 367, 334, 501, 334, 300, 267]), 9: array([801, 500, 634, 267, 333, 534, 400, 300,  66]), 10: array([770, 602, 569, 569, 368, 401, 334, 401, 334])}",354.45714285714286,6.8,402.2613636363636
17,s63,"{1: array([  66.,  233., 1332., 1366.,   nan,   33., 1266.]), 2: array([  nan,  199., 1465.,   nan,   33., 1631.,   nan]), 3: array([1466.,   nan,   33.,   nan,   nan,  166.,  200.]), 4: array([1398.,   nan,  199.,  199.,   99.,   33., 1398.]), 5: array([ 299., 1299.,   nan,   66., 1465.,   nan,   nan]), 6: array([ 66,  33, 100, 233, 300, 534, 434]), 7: array([  33,  233,  233, 1334, 1434, 1167, 1367]), 8: array([1195.,   nan,   nan,   33., 1494., 1527.,  830.]), 9: array([1400.,   nan, 1634., 1200., 1100.,  200.,   nan]), 10: array([1265.,  666.,   nan,   33.,   nan,  266.,   nan])}","{1: 7, 2: 6, 3: 5, 4: 7, 5: 5, 6: 6, 7: 8, 8: 6, 9: 7, 10: 6}","{1: array([433, 366, 433, 333, 333, 199, 333, 333, 133]), 2: array([599, 566, 466, 399, 532, 399, 332, 266]), 3: array([500, 433, 333, 400, 400, 333, 300, 333]), 4: array([665, 432, 399, 299, 332, 432, 266, 332, 233]), 5: array([766, 466, 466, 366, 366, 299, 399, 166, 266]), 6: array([734, 534, 634, 400, 400, 333, 434, 300, 166, 166]), 7: array([800, 633, 533, 300, 366, 300, 300, 300,  66]), 8: array([797, 730, 365, 232, 398, 365, 332, 199, 199, 265]), 9: array([800, 500, 500, 366, 266, 466, 433,  66, 133]), 10: array([732, 499, 432, 399, 333, 333, 299, 233, 299])}",689.6346153846154,6.2,384.9222222222222
18,s9,"{1: [], 2: [], 3: [], 4: array([ 868,  467,  100, 1569,  667, 1235, 1302]), 5: array([400., 300., 233.,  nan,  nan, 634., 400.]), 6: array([ 567.,   nan,  200.,  166., 1135.,  734.,   nan]), 7: array([ 367.,  266.,  300.,  233.,  166.,   nan, 1101.]), 8: array([ 66., 568., 434.,  66.,  nan,  nan,  nan]), 9: array([601., 768., 601., 300.,  nan, 267., 634.]), 10: array([ 233.,  567., 1200.,  500.,   nan,  133.,  900.])}","{1: [], 2: [], 3: [], 4: 7, 5: 4, 6: 5, 7: 7, 8: 6, 9: 6, 10: 6}","{1: [], 2: [], 3: [], 4: array([801, 734, 634, 133, 233, 333, 333,  66, 133]), 5: array([901, 400, 601, 300, 333, 133, 300]), 6: array([734, 567, 534, 534, 400, 300, 233, 300]), 7: array([767, 567, 400, 333, 400, 266, 367, 333, 333, 266, 133]), 8: array([601, 300, 534, 233, 300, 467, 233, 200, 267, 133,  66]), 9: array([734, 768, 367, 467, 100, 334, 100, 133]), 10: array([733, 533, 533, 533, 366, 400, 400, 100])}",536.1282051282051,5.857142857142857,387.1290322580645
19,s19,"{1: array([267., 367., 333.,  nan, 600., 367., 700.]), 2: array([299, 266, 366, 266, 532, 465, 399]), 3: array([333, 233, 299, 433, 366, 366, 466]), 4: array([299, 299, 299, 133, 299, 399, 432]), 5: array([ nan, 266., 332., 233., 166., 532., 332.]), 6: array([332, 265, 232, 299, 398, 299, 232]), 7: array([399, 365, 332, 399, 365, 399, 399]), 8: array([432, 531, 465, 332, 365, 498, 498]), 9: array([299, 299, 299, 332, 299, 332, 332]), 10: array([398, 365, 332, 365, 299, 398, 365])}","{1: 6, 2: 7, 3: 7, 4: 7, 5: 9, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([767, 367, 700, 300, 333, 433, 400, 267]), 2: array([665, 332, 499, 332, 299, 266, 366, 266]), 3: array([533, 433, 599, 333, 433, 333, 466, 166,  66]), 4: array([764, 498, 465, 432, 332, 432, 365, 266]), 5: array([665, 399, 399, 399, 266, 166, 366,  66, 133, 199]), 6: array([598, 531, 564, 598, 431, 332, 398]), 7: array([565, 565, 532, 432, 399, 399, 399]), 8: array([631, 398, 465, 465, 432, 365, 432]), 9: array([465, 399, 465, 399, 332, 266, 365, 266]), 10: array([598, 465, 365, 299, 465, 365, 265, 199])}",356.61764705882354,6.4,409.225
