,model,subject,recall,MCC
126,ETH,s103,0.625,0.6238502938920436
127,ETH,s102,0.5,0.4852168952493673
128,ETH,s32,0.375,0.3465834966066909
129,ETH,s44,0.75,0.7458698539828915
130,FAZE,s25,0.75,0.7458698539828915
131,FAZE,s81,0.6875,0.6810052246069989
132,FAZE,s61,1.0,1.0
133,FAZE,s87,0.5625,0.5401276624446222
134,FAZE,s86,0.3125,0.2772667972853527
135,FAZE,s58,0.4375,0.4196984500696014
136,FAZE,s3,0.8125,0.8067511745433772
137,FAZE,s53,0.8125,0.8067511745433772
138,FAZE,s66,0.875,0.8703005051059519
139,FAZE,s73,0.875,0.8739804390886586
140,FAZE,s75,1.0,1.0
141,FAZE,s71,0.875,0.8739804390886586
142,FAZE,s2,0.5625,0.5424508028966484
143,FAZE,s46,0.5,0.4767036572248992
144,FAZE,s23,0.625,0.612904702146299
145,FAZE,s59,0.125,0.08016048160562023
146,FAZE,s39,1.0,1.0
147,FAZE,s63,0.75,0.7458698539828915
148,FAZE,s9,0.3125,0.28373076085276344
149,FAZE,s19,0.75,0.7458698539828915
150,FAZE,s114,0.25,0.2098492250348007
151,FAZE,s5,1.0,1.0
152,FAZE,s113,0.6875,0.6751595780557778
153,FAZE,s98,0.8125,0.8101914936669333
154,FAZE,s104,1.0,1.0
155,FAZE,s77,0.4375,0.40860313476419935
156,FAZE,s34,0.9375,0.9372466978064098
157,FAZE,s111,1.0,1.0
158,FAZE,s78,0.1875,0.15659205853725425
159,FAZE,s40,0.9375,0.9372466978064098
160,FAZE,s79,0.75,0.7458698539828915
161,FAZE,s55,0.5,0.4767036572248992
162,FAZE,s1,0.9375,0.9372466978064098
163,FAZE,s21,0.8125,0.8101914936669333
164,FAZE,s41,0.6875,0.6780635036208105
165,FAZE,s68,0.9375,0.9372466978064098
166,FAZE,s90,0.5625,0.5448041796855991
167,FAZE,s30,0.875,0.8739804390886586
168,FAZE,s64,0.6875,0.6810052246069989
169,FAZE,s28,0.5,0.4746444525345673
170,FAZE,s110,0.75,0.7395219099980958
171,FAZE,s20,0.9375,0.9372466978064098
172,FAZE,s85,0.5,0.4809037706009084
173,FAZE,s8,1.0,1.0
174,FAZE,s27,0.6875,0.6810052246069989
175,FAZE,s60,1.0,1.0
176,FAZE,s18,0.9375,0.9372466978064098
177,FAZE,s80,1.0,1.0
178,FAZE,s93,1.0,1.0
179,FAZE,s43,0.9375,0.9372466978064098
180,FAZE,s56,0.9375,0.9372466978064098
181,FAZE,s82,0.4375,0.4177863742936748
182,FAZE,s31,0.875,0.8739804390886586
183,FAZE,s52,0.9375,0.9372466978064098
184,FAZE,s17,0.75,0.7426755358613555
185,FAZE,s92,0.8125,0.8067511745433772
186,FAZE,s4,1.0,1.0
187,FAZE,s6,0.8125,0.8101914936669333
188,FAZE,s117,0.8125,0.8101914936669333
189,FAZE,s49,1.0,1.0
190,FAZE,s115,0.8125,0.8101914936669333
191,FAZE,s103,0.875,0.8739804390886586
192,FAZE,s102,0.8125,0.8067511745433772
193,FAZE,s32,0.6875,0.6780635036208105
194,FAZE,s44,0.875,0.8739804390886586
