,subb,trial_latencies,num_of_blinks,blink_durations,avg_latency,avg_blinks_per_trial,avg_blink_duration
28,s79,"{1: array([471., 336., 370.,  nan,  nan,  nan, 370.]), 2: array([469., 335., 335., 402., 402., 335.,  nan]), 3: [], 4: array([471., 202.,  nan, 303., 303., 370., 370.]), 5: array([436.,  nan,  nan,  nan,  nan,  nan,  nan]), 6: array([ nan,  nan, 437.,  nan,  nan,  nan, 437.]), 7: array([ nan,  nan,  nan, 405.,  nan,  nan,  nan]), 8: array([370.,  nan,  nan, 404., 437., 437.,  nan]), 9: array([ nan, 371.,  nan,  nan, 404.,  nan, 438.]), 10: array([ nan, 403., 369., 369.,  nan,  nan, 335.])}","{1: 3, 2: 5, 3: [], 4: 5, 5: 0, 6: 2, 7: 1, 8: 3, 9: 3, 10: 4}","{1: array([269, 134, 134, 134, 134]), 2: array([201, 201, 201, 134, 100,  67]), 3: [], 4: array([202, 134, 168, 134,  67,  67]), 5: array([201]), 6: array([134,  67]), 7: array([101]), 8: array([168, 134,  67,  67]), 9: array([202, 134,  67]), 10: array([335, 167, 201, 167])}",386.96774193548384,2.888888888888889,140.40625
29,s55,"{1: array([233., 233.,  nan, 233., 267., 300., 300.]), 2: array([234, 301, 301, 301, 301, 367, 367]), 3: array([301, 335, 134, 134, 368, 402, 368]), 4: array([300., 300.,  nan, 300.,  nan, 300., 167.]), 5: array([268, 268, 301, 268, 335, 301, 335]), 6: array([267, 300, 267, 300, 300, 333, 333]), 7: array([ nan, 299., 266., 299., 266., 233., 333.]), 8: array([301, 267, 234, 267, 267, 301, 334]), 9: array([167.,  nan, 334., 301., 334., 267., 334.]), 10: array([ nan, 333., 299., 266., 266., 299., 266.])}","{1: 5, 2: 6, 3: 7, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([233, 200, 200, 167, 200, 133]), 2: array([200, 133, 167, 133, 100, 133, 133, 133]), 3: array([201, 167, 134, 167, 134, 134, 134, 100, 134]), 4: array([367, 300, 200, 167, 200, 133, 133, 133, 167, 133]), 5: array([167, 167, 167, 134, 134, 100, 134, 100]), 6: array([200, 200, 166, 133,  66, 133, 133, 133]), 7: array([233, 199, 166, 166, 133, 133, 133]), 8: array([200, 167, 167, 167, 133, 167, 133,  66]), 9: array([334, 234, 234, 167, 200, 167, 234, 133]), 10: array([166, 133, 133, 133, 133,  66, 133, 133])}",290.453125,6.0,157.975
30,s1,"{1: array([234, 267, 200, 301, 301, 301, 368]), 2: array([301, 301, 267, 301, 301, 267, 468]), 3: array([300, 333, 233, 100, 233, 267, 267]), 4: array([433, 400, 300, 300, 233, 300, 300]), 5: array([234, 234, 234, 267, 301, 267, 267]), 6: array([335, 301, 335, 301, 301, 301, 335]), 7: array([200, 200, 267, 267, 234, 301, 301]), 8: array([468, 368, 334, 267, 301, 334, 301]), 9: array([334, 334, 234, 234, 300, 167, 300]), 10: array([233, 267, 233, 233, 233, 100, 233])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([267, 234, 234, 200, 200, 200, 200]), 2: array([334, 234, 267, 200, 200,  66, 234]), 3: array([434, 267, 267, 200, 233, 233, 200]), 4: array([266, 266, 200, 200, 233, 133, 133]), 5: array([301, 234, 267, 234, 234, 234, 234]), 6: array([402, 167, 234, 167, 167, 134, 167, 167]), 7: array([267, 234, 200, 200, 200, 200, 200]), 8: array([234, 200, 200, 167, 167, 133, 100]), 9: array([300, 200, 200, 133, 167, 200, 100]), 10: array([267, 233, 233, 200, 200, 166, 233])}",281.48571428571427,6.0,210.08450704225353
31,s21,"{1: array([ nan, 368., 301.,  nan, 435.,  nan, 435.]), 2: array([635.,  nan, 301., 334., 368., 334.,  nan]), 3: array([434., 300., 267., 367., 334.,  nan,  nan]), 4: array([ nan,  nan,  nan,  nan, 367.,  nan, 400.]), 5: array([267.,  nan, 401.,  nan,  nan, 334.,  nan]), 6: array([301.,  nan, 401.,  nan, 401.,  nan,  nan]), 7: array([367., 434.,  nan,  nan,  nan, 367.,  nan]), 8: array([ nan,  nan, 367.,  nan, 434.,  nan,  nan]), 9: array([367.,  nan,  nan,  nan,  nan,  nan,  nan]), 10: array([ nan,  nan,  nan,  nan, 367.,  nan, 400.])}","{1: 4, 2: 4, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2, 8: 2, 9: 0, 10: 2}","{1: array([133, 100,  66, 100]), 2: array([167, 167,  66, 133, 133]), 3: array([200, 167,  66,  66,  66]), 4: array([66, 66]), 5: array([133, 133, 133]), 6: array([200, 133,  66]), 7: array([133, 133,  66]), 8: array([133, 100]), 9: array([133]), 10: array([100,  66])}",368.46666666666664,2.6,111.93333333333334
32,s41,"{1: array([532, 499, 632, 532, 532, 532, 499]), 2: array([532, 532, 532, 532, 599, 499, 599]), 3: array([499, 466, 432, 466, 599, 565, 532]), 4: array([632, 632, 532, 499, 466, 499, 599]), 5: array([565, 598, 499, 499, 499, 499, 465]), 6: array([665, 499, 532, 499, 532, 532, 532]), 7: array([499, 499, 499, 533, 499, 499, 533]), 8: array([431, 531, 531, 365, 465, 465, 531]), 9: array([532, 499, 499, 532, 266, 532, 532]), 10: array([500, 533, 533, 566, 600, 533, 600])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([466, 499, 366, 399, 399, 266, 333]), 2: array([632, 532, 466, 499, 599, 133, 432, 499]), 3: array([665, 665, 565, 133, 532, 432, 399,  66]), 4: array([532, 599, 399, 266, 366, 333, 166]), 5: array([632, 499, 499, 499, 632, 399, 465, 166]), 6: array([598, 465, 465, 399, 499, 499, 399]), 7: array([299, 299, 266, 266, 266, 199, 166]), 8: array([365, 332, 365, 265, 298, 232, 199]), 9: array([466, 432, 366, 266, 399, 199, 266]), 10: array([533, 500, 400, 366, 466, 400, 400])}",525.1285714285714,6.0,399.3835616438356
33,s68,"{1: array([332, 299, 332, 399, 366, 399, 366]), 2: array([433, 333, 366, 299, 333, 333, 366]), 3: array([398, 365, 365, 464, 365, 464, 298]), 4: array([266, 366, 266, 366, 399, 399, 366]), 5: array([500, 400, 400, 333, 366, 400, 300]), 6: array([433, 366, 366, 333, 399, 466, 433]), 7: array([299, 332, 466, 399, 299, 366, 366]), 8: array([463, 397, 397, 331, 298, 298, 265]), 9: array([498, 365, 299, 299, 498, 299, 299]), 10: array([533, 400, 367, 533, 500, 367, 433])}","{1: 6, 2: 6, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 6}","{1: array([266, 232, 199, 199, 199, 199, 199]), 2: array([233, 233, 199, 199, 166, 199, 199]), 3: array([265, 265, 265, 199, 265, 232, 199]), 4: array([266, 266, 233, 233, 266, 233, 199]), 5: array([266, 266, 200, 200, 166, 166, 200]), 6: array([233, 233, 233, 233, 199, 199, 199]), 7: array([233, 199, 233, 166, 166, 166,  99]), 8: array([231, 231, 231, 231, 198, 198, 198]), 9: array([299, 232, 232, 232, 199, 166, 166]), 10: array([233, 233, 200, 200, 200, 200, 166, 200])}",372.87142857142857,6.0,215.0
34,s90,"{1: array([466, 633, 499, 533, 466, 499, 333]), 2: array([466., 666.,  nan, 699., 666.,  nan, 566.]), 3: array([466, 566, 499, 532, 599, 466, 499]), 4: array([565, 532, 499, 532, 898, 532, 565]), 5: array([600., 633., 566., 700., 800., 800.,  nan]), 6: array([566., 533., 466.,  nan, 533., 666., 666.]), 7: array([499, 499,  99, 466, 433, 466, 199]), 8: array([565., 499.,  nan, 399., 466., 499., 199.]), 9: array([367, 233, 500, 600, 367, 333, 100]), 10: array([  nan, 1000.,  466.,  500.,  566.,  433.,  466.])}","{1: 6, 2: 4, 3: 6, 4: 6, 5: 5, 6: 5, 7: 7, 8: 6, 9: 8, 10: 9}","{1: array([266, 233, 199, 166, 166, 199,  99,  66]), 2: array([233, 199, 199, 133, 133,  66]), 3: array([233, 233, 199, 199, 133, 133, 133]), 4: array([299, 199, 199, 166, 199, 133,  99]), 5: array([666, 300, 166, 200, 133, 166]), 6: array([200, 200, 133, 133, 133,  66]), 7: array([333, 333, 333, 233, 199, 199, 266, 166]), 8: array([399, 332, 233, 266, 166, 199, 166, 133,  99]), 9: array([667, 500, 500, 233, 266, 200, 233, 233, 133, 166, 133]), 10: array([366, 333, 200, 266, 233, 166, 133, 100,  66])}",514.4375,6.2,203.0
35,s30,"{1: [], 2: [], 3: array([666, 833, 733, 700, 700, 800, 800]), 4: [], 5: array([ nan,  nan,  nan,  nan, 798., 732., 765.]), 6: array([567, 734, 534, 700, 700, 734, 600]), 7: array([501, 734, 634, 567, 534, 400, 501]), 8: array([833, 733, 733, 733, 733, 700, 700]), 9: array([566, 733, 733, 766, 700, 766, 433]), 10: array([666., 666., 933., 666., 766.,  nan, 599.])}","{1: [], 2: [], 3: 6, 4: [], 5: 3, 6: 6, 7: 6, 8: 6, 9: 6, 10: 5}","{1: [], 2: [], 3: array([233, 200, 200, 166, 133, 166, 200]), 4: [], 5: array([266, 133,  66,  99]), 6: array([267, 233, 200, 200, 200, 200, 166]), 7: array([267, 167, 233, 167, 133, 167, 100, 167]), 8: array([500, 200, 200, 100, 133, 133, 166, 100]), 9: array([233, 200, 133, 166, 133, 133, 133]), 10: array([233, 166, 199, 133,  99, 133])}",686.9772727272727,5.428571428571429,170.70212765957447
36,s64,"{1: array([568, 635, 635, 535, 702, 568, 133]), 2: array([700, 633, 700, 666, 733, 633, 533]), 3: array([634, 634, 701, 634, 701, 601, 601]), 4: array([701, 734, 701, 667, 734, 701, 701]), 5: array([533, 666, 666, 700, 666, 633, 666]), 6: array([701, 635, 668, 701, 701, 768, 668]), 7: array([700, 700, 600, 567, 767, 767, 867]), 8: array([667, 734, 767, 700, 834, 734, 734]), 9: array([569, 702, 702, 569, 636, 669, 602]), 10: array([ 835,  601,  634,  601,  668,  601, 1202])}","{1: 7, 2: 8, 3: 6, 4: 6, 5: 6, 6: 6, 7: 6, 8: 6, 9: 6, 10: 7}","{1: array([602, 468, 368, 401, 200, 334, 368, 133]), 2: array([566, 566, 366, 500, 433, 133, 166, 400, 166,  66]), 3: array([501, 434, 467, 233, 334, 434, 300,  66]), 4: array([701, 601, 567, 400, 400, 333, 400]), 5: array([533, 433, 466, 400, 400, 466, 400]), 6: array([668, 401, 367, 334, 300, 300, 334]), 7: array([433, 366, 366, 366, 333, 266, 300, 166]), 8: array([400, 400, 367, 367, 300, 367, 300]), 9: array([435, 435, 401, 334, 301, 334, 401, 133]), 10: array([601, 467, 501, 434, 334, 300, 300, 100])}",668.5,6.3,373.56410256410254
37,s28,"{1: array([565.,  nan,  nan,  nan,  nan,  nan,  nan]), 2: array([ 600.,   nan,   nan,   nan,   nan, 1400., 1834.]), 3: array([499.,  nan, 766.,  nan, 166., 466.,  nan]), 4: array([599.,  nan,  nan,  nan,  nan,  nan,  nan]), 5: array([ 665.,   nan, 1365.,  532.,   nan,   nan,   nan]), 6: array([ 600.,   nan, 1333.,  500., 1700., 1333.,  533.]), 7: array([ 733.,  733.,  633.,  333.,   nan,   nan, 1133.]), 8: array([799.,  nan,  nan,  nan,  nan,  nan,  nan]), 9: array([ 599.,  998., 1698., 1265., 1265.,  199.,   nan]), 10: array([666., 699., 433.,  nan,  66., 566.,  nan])}","{1: 0, 2: 2, 3: 5, 4: 0, 5: 2, 6: 5, 7: 5, 8: 0, 9: 6, 10: 4}","{1: array([366, 299]), 2: array([233, 133, 233,  66]), 3: array([266, 199, 166, 133, 133, 133]), 4: array([199]), 5: array([199, 199, 133]), 6: array([233, 200, 166, 133, 133, 133, 133]), 7: array([499, 199, 166,  66, 166,  99]), 8: array([133]), 9: array([233, 199, 166, 166, 133,  66, 166]), 10: array([199,  99,  66,  66,  66])}",794.5714285714286,2.8,158.95238095238096
