,Model,Subject,Durations
45,FAZE,s60,607.25
46,FAZE,s18,608.175
47,FAZE,s80,599.95
48,FAZE,s93,619.7833333333333
49,FAZE,s43,615.65
50,FAZE,s56,583.975
51,FAZE,s82,615.05
52,FAZE,s31,594.2166666666667
53,FAZE,s52,629.075
54,FAZE,s17,574.7166666666667
55,FAZE,s92,595.475
56,FAZE,s4,610.3833333333333
57,FAZE,s6,600.275
58,FAZE,s117,563.3166666666667
59,FAZE,s49,570.8666666666667
60,FAZE,s115,610.9416666666667
61,FAZE,s103,558.4916666666667
62,FAZE,s102,596.175
63,FAZE,s32,592.3416666666667
64,FAZE,s44,581.4416666666667
