,subb,trial_x,trial_y,mean_x,mean_y
0,s25,"{1: [142.0, 128, 150.5, 130.5, 178, 242, 258.5, 223.5, 134.0, 243], 2: [496, 669.0, 535.5, 443, 507.5, 532.5, 724.0, 565.5, 582, 588.5], 3: [892.5, 991.0, 902.5, 863.5, 868.0, 979, 1060.5, 984, 1018.5, 1035.0], 4: [1370.0, 1422.5, 1430, 1294, 1352.5, 1425.5, 1331.5, 1352.0, 1427.5, 1346.5], 5: [-2, 104.5, -16.0, 74, 150.5, 46.0, 95.0, 255.0, 282.5, 123.5], 6: [486.5, 497.0, 475.0, 542.0, 561, 586.0, 654.5, 598.0, 645.0, 579.5], 7: [983.5, 949.0, 989.0, 1049.5, 1071, 999.5, 998, 967.5, 983.0, 1038], 8: [1300, 1301, 1271.5, 1226.0, 1388.5, 1468, 1365, 1501.5, 1394.5, 1323.5], 9: [138.0, 105.0, 223, 102.0, 226.5, 80.0, 312.0, 288.0, 348, -5], 10: [613, 569, 510, 629.0, 525, 600.5, 593.0, 550, 616.5, 529.0], 11: [1022.5, 1021.0, 1066.5, 885.0, 906.0, 993, 981, 1030, 1012, 985.5], 12: [1376.5, 1260.0, 1371, 1238, 1383.0, 1477.0, 1481.0, 1487.5, 1412.0, 1413.0], 13: [149.5, 285.0, 148.0, 311.5, 352, 359.5, 449.0, 112, 362, 216.5], 14: [567.5, 645.5, 513.0, 494.0, 576.0, 688.0, 613, 567, 639.5, 508], 15: [951.0, 968, 918.0, 837.0, 918.0, 1005.0, 1101, 996.5, 1038.0, 938.0], 16: [1286.5, 1357.0, 1426.5, 1481, 1219.5, 1490, 1408.0, 1446.0, 1517, 1522]}","{1: [37.5, 91, -2.5, 232.5, 349, -29, -38.5, 39.0, -86.0, -10], 2: [-34, 70.0, 129.5, 224, 177.0, -40.0, 66.5, 11.0, 118, -80.0], 3: [50.5, 115.5, 204.5, 259.5, 150.0, -14, -50.0, 18, 126.5, -32.0], 4: [83.5, 55.0, 27, 263, 266.0, -21.0, -1.0, 115.0, 102.0, 134.0], 5: [328, 359.5, 275.0, 311, 410.5, 276.0, 249.5, 338.5, 259.0, 219.0], 6: [317.5, 312.0, 262.0, 503.5, 448, 280.0, 396.0, 186.5, 242.0, 302.0], 7: [344.5, 308.0, 370.0, 421.0, 316, 222.5, 260, 292.0, 233.0, 261], 8: [266, 340, 331.5, 344.5, 364.0, 319, 325, 348.5, 270.5, 275.0], 9: [451.5, 492.5, 405, 491.5, 441.0, 450.5, 401.0, 484.5, 521, 414], 10: [475, 492, 528, 644.5, 578, 477.5, 435.0, 497, 558.0, 460.0], 11: [471.5, 560.5, 575.0, 467.0, 518.5, 426, 584, 565, 595, 445.5], 12: [460.0, 528.5, 495, 531, 485.5, 441.0, 474.0, 459.0, 443.5, 408.0], 13: [598.5, 563.0, 535.5, 579.0, 659, 594.0, 564.5, 645, 587, 611.0], 14: [648.0, 700.0, 608.0, 688.5, 720.5, 614.0, 616, 578, 639.5, 596], 15: [619.0, 768, 627.5, 723.5, 647.0, 621.0, 676, 678.0, 699.5, 568.5], 16: [630.5, 620.5, 621.0, 563, 616.5, 627, 669.0, 634.5, 618, 642]}","{1: 181.7, 2: 564.15, 3: 957.35, 4: 1378.7, 5: 109.95, 6: 562.65, 7: 1002.5, 8: 1355.15, 9: 186.65, 10: 573.75, 11: 988.7, 12: 1391.45, 13: 269.4, 14: 578.3, 15: 968.85, 16: 1421.55}","{1: 51.4, 2: 63.5, 3: 79.15, 4: 104.05, 5: 300.55, 6: 324.95, 7: 298.75, 8: 317.3, 9: 452.8, 10: 510.35, 11: 521.65, 12: 475.6, 13: 595.0, 14: 640.6, 15: 663.4, 16: 626.85}"
1,s81,"{1: [656, 493.5, 546.5, 466.5, 545.0, 382, 281, 328, 305, 372.5], 2: [710, 797.0, 698.0, 765.0, 762.5, 666.5, 660.5, 644.5, 605, 745], 3: [1026.5, 1058.5, 1005.5, 1099.5, 1078, 1052, 862, 961, 900.0, 998.5], 4: [1378.5, 1293.0, 1249.5, 1370.5, 1285.0, 1343.0, 1249.5, 1299, 1219.5, 1409], 5: [453.0, 417.0, 418.0, 455.0, 333.0, 452.5, 305, 380.0, 434, 394], 6: [674.0, 787.5, 726.5, 741.0, 763.0, 682, 656, 609, 558, 594.5], 7: [950.0, 1071, 1087.0, 1104.5, 1119.0, 974, 936, 973, 1012, 1055], 8: [1353, 1344.0, 1336.0, 1410.5, 1431, 1324.0, 1289, 1356, 1347, 1403], 9: [418.5, 516.0, 469.5, 511.5, 371.5, 405, 58, 286, 342, 387.5], 10: [769, 792.0, 759, 854.5, 696.0, 689.0, 716.0, 665.5, 685.5, 598], 11: [1057.0, 990.5, 995, 1053.5, 1187.0, 909, 972, 927, 957, 1114.0], 12: [1350.0, 1301.5, 1379.0, 1371.5, 1423.5, 1322.5, 1410, 1257.0, 1366, 1438.0], 13: [405.0, 444.0, 511.5, 474.5, 436.5, 341, 347, 347, 410, 386], 14: [728.0, 705.5, 755.5, 838.0, 748.0, 724, 616, 627.0, 675.5, 724.5], 15: [1231, 1116, 1224.0, 1190.0, 1062, 1021.5, 825.5, 972, 1075.0, 1061], 16: [1409.0, 1378.0, 1335, 1375.5, 1454.5, 1352, 1282, 1354, 1355, 1423]}","{1: [146, 104.0, 52.0, -3.5, -2.0, 112, 181, 127, 103, 137.0], 2: [51, -26.0, 1.0, 95.5, -6.5, 211.5, 171.5, 103.5, 171, 148], 3: [105.5, 62.0, 65.5, 68.5, 14, 214, 267, 241, 177.5, 196.5], 4: [96.0, 166.5, 87.5, 58.5, 83.0, 244.5, 277.0, 211, 299.5, 214], 5: [264.5, 164.5, 128.5, 145.5, 47.5, 272.5, 395, 390.5, 197, 341], 6: [375.5, 58.0, 184.5, 218.0, 37.5, 468, 361, 350, 306, 472.5], 7: [276.0, 248, 175.0, 230.5, 137.5, 367, 382, 403, 471, 323], 8: [285, 123.0, 362.0, 291.0, 197, 426.0, 464, 447, 338, 396], 9: [403.5, 354.0, 162.5, 334.5, 171.5, 544, 465, 540, 643, 462.0], 10: [403, 357.0, 311, 296.0, 299.5, 557.0, 635.5, 559.0, 549.0, 665], 11: [442.0, 307.0, 340, 258.5, 486.0, 541, 667, 621, 634, 621.5], 12: [427.0, 361.5, 303.5, 493.0, 558.0, 632.0, 552, 608.5, 613, 630.0], 13: [515.0, 471.5, 480.0, 493.0, 412.0, 721, 772, 701, 748, 803], 14: [563.0, 579.0, 539.0, 463.5, 467.5, 745, 782, 737.5, 792.0, 821.5], 15: [738, 362, 651.0, 621.0, 564, 717.0, 916.0, 762, 727.5, 816], 16: [675.0, 645.0, 703, 669.0, 634.5, 780, 744, 819, 842, 799]}","{1: 429.05, 2: 706.15, 3: 1005.8, 4: 1309.6, 5: 406.75, 6: 680.35, 7: 1028.1, 8: 1360.8, 9: 398.9, 10: 722.95, 11: 1010.7, 12: 1364.9, 13: 407.15, 14: 707.05, 15: 1091.75, 16: 1373.95}","{1: 92.3, 2: 90.0, 3: 143.35, 4: 173.95, 5: 242.3, 6: 284.7, 7: 298.25, 8: 338.6, 9: 399.0, 10: 460.6, 11: 493.35, 12: 523.45, 13: 614.5, 14: 646.45, 15: 697.65, 16: 729.8}"
2,s61,"{1: [99, 276.5, 252.5, 230.0, 94.5, 206.5, 237, 192.0, 144, 216], 2: [419.5, 412, 655.5, 700, 507.5, 638, 568.5, 631.5, 671.5, 620], 3: [898.5, 1040, 924, 984, 1003.0, 962.0, 1093, 1032, 983.5, 938.5], 4: [1125.5, 1125.0, 1395.5, 1319.5, 1374.5, 1331.0, 1107.0, 1379.5, 1268.0, 1281.5], 5: [377.0, 338.0, 305.5, 271.0, 199.0, 303.5, 313.0, 279.5, 245, 347.5], 6: [711.0, 769.0, 647.0, 663.5, 703.0, 813.5, 737.5, 604.0, 642.5, 654], 7: [999.5, 969.5, 1115, 1094.0, 1077.0, 1086.5, 1082.5, 1061, 1063, 1009.0], 8: [1412, 1451, 1365.0, 1317.0, 1421.5, 1469.0, 1386, 1397, 1309, 1297], 9: [350.5, 308.5, 299.5, 213, 309.5, 340, 328.5, 410.0, 257.0, 370.5], 10: [468.0, 780.5, 754.5, 647, 593, 646.0, 678.5, 646, 542.0, 579.5], 11: [1050, 1137.0, 1155.0, 1115.5, 1041.0, 1111, 1054.0, 1022.0, 1061.5, 926.5], 12: [1347.5, 1300, 1290, 1408.0, 1342, 1455.0, 1432, 1363.0, 1250.0, 1380.5], 13: [252.5, 126.5, 192.5, 110.5, 189, 267.0, 252.0, 159.5, 254.5, 230], 14: [562.0, 603, 597.0, 569.0, 503.0, 411, 547.0, 550.0, 526.0, 473.0], 15: [845.5, 1005.5, 772, 926, 907, 1016.0, 1007, 921, 857.0, 844.0], 16: [1368.5, 1442.0, 1370.5, 1370, 1320, 1418.0, 1280.5, 1294.5, 1340, 1190.5]}","{1: [-79, 47.0, 33.5, 324.0, 210.0, 167.5, 165, 178.5, 200, 222], 2: [-96.0, -9, -16.0, 228, 130.5, 118, 92.5, 167.5, 210.5, 146], 3: [94.5, 73, 46, 181, 116.5, 112.0, 199, 130, 147.0, 152.0], 4: [-4.5, 17.0, 125.0, 245.5, 154.5, 166.5, 217.0, 232.5, 206.5, 187.0], 5: [312.0, 160.5, 279.5, 442.0, 425.5, 329.0, 329.5, 389.0, 375, 405.5], 6: [325.0, 335.0, 394.0, 416.0, 421.0, 281.0, 318.5, 327.5, 438.0, 421], 7: [311.0, 183.0, 212, 340.0, 307.5, 354.0, 365.0, 413, 391, 360.0], 8: [269, 191, 253.5, 320.0, 305.5, 437.5, 321, 404, 330, 361], 9: [544.5, 481.5, 599.0, 663, 631.0, 513, 581.5, 564.5, 665.0, 617.5], 10: [637.5, 453.0, 482.5, 586, 564, 629.0, 544.5, 581, 633.5, 588.5], 11: [482, 589.5, 447.0, 440.0, 508.0, 457, 530.5, 584.0, 485.0, 599.5], 12: [609.0, 553, 575, 504.5, 463, 528.5, 515, 624.0, 525.5, 463.5], 13: [777.0, 727.0, 808.0, 832.0, 808, 742.0, 724.5, 782.5, 730.0, 712], 14: [759.0, 806, 765.5, 728.5, 773.0, 815, 743.5, 717.0, 740.0, 775.5], 15: [830.0, 768.0, 721, 680, 757, 752.0, 662, 742, 741.5, 731.0], 16: [839.0, 726.0, 689.5, 635, 767, 720.0, 691.5, 785.5, 666, 719.5]}","{1: 192.85, 2: 580.3, 3: 983.1, 4: 1270.9, 5: 299.55, 6: 693.9, 7: 1056.6, 8: 1381.85, 9: 319.15, 10: 638.3, 11: 1075.1, 12: 1358.5, 13: 203.75, 14: 539.7, 15: 916.4, 16: 1346.05}","{1: 147.9, 2: 103.45, 3: 126.0, 4: 155.55, 5: 355.0, 6: 369.75, 7: 324.35, 8: 322.15, 9: 589.0, 10: 572.5, 11: 511.95, 12: 534.65, 13: 763.15, 14: 762.55, 15: 734.05, 16: 721.65}"
3,s87,"{1: [214.0, 175.5, 326.5, 203.5, 146.5, 259.5, 235.5, 312.5, 264.5, 144.0], 2: [624.5, 701.0, 632.0, 606.5, 633.5, 662.0, 621.0, 608.0, 678.5, 593], 3: [999.0, 1066.5, 1063.5, 1004.0, 1094, 1178.0, 1101, 913.0, 1123.5, 985.5], 4: [1344.5, 1395.5, 1435.0, 1351.5, 1395.0, 1384.5, 1488.0, 1459, 1490.0, 1294.5], 5: [87.0, 306, 265.5, 290.0, 253.0, 147.0, 328, 243.0, 236.5, 127], 6: [579.5, 620, 578, 517.0, 684.5, 676.5, 620, 565.0, 716.0, 592.5], 7: [954.0, 1152, 1054.5, 1011, 994.0, 1166.0, 1135.0, 1067.0, 1030.5, 941.5], 8: [1416.0, 1342.0, 1576.5, 1501.0, 1462.5, 1413.5, 1509.0, 1395.5, 1437.0, 1310.5], 9: [149.0, 324.0, 264.5, 176.5, 280.0, 166.0, 203.5, 224.5, 319.5, 268.0], 10: [565.5, 559.0, 642.5, 599.5, 626.0, 679.5, 597.0, 713.5, 585.5, 533.5], 11: [972.5, 1096, 1075.0, 1054.5, 1053.5, 1263.0, 986.5, 964.0, 945.0, 990.5], 12: [1394.5, 1484, 1450.5, 1372.0, 1357.5, 1572.0, 1490.0, 1262.5, 1248.5, 1174.0], 13: [238.5, 293.0, 245.0, 270.5, 222.0, 418.5, 419.0, 328.5, 323.5, 206.0], 14: [473, 584.0, 669, 700.5, 477.0, 486.5, 644, 547.0, 650, 514.5], 15: [834.0, 1036.5, 1112, 1061.0, 1064.5, 1104.5, 1113.0, 1148.0, 947.0, 930.5], 16: [1527.0, 1436.5, 1427, 1251.0, 1409.5, 1463.5, 1386.5, 1314.0, 1243.0, 1270.0]}","{1: [170.5, 274.5, 246.0, 269.5, 333.5, 178.0, 104.0, 94.5, 134.5, 222.5], 2: [375.5, 401.0, 412.5, 334.0, 562.0, 396.0, 292.5, 363.5, 315.0, 357], 3: [235.0, 314.0, 432.0, 274.0, 466, 356.5, 193, 223.5, 318.0, 163.5], 4: [303.5, 339.0, 242.5, 122.5, 257.5, 279.5, 181.0, 234, 147.0, -56.0], 5: [564.0, 568, 546.5, 598.0, 575.0, 427.0, 530, 396.5, 428.0, 290], 6: [661.0, 669, 674, 673.0, 751.0, 616.0, 570, 566.0, 594.0, 530.5], 7: [676.5, 706, 609.5, 627, 709.0, 531.5, 516.5, 436.5, 552.5, 564.5], 8: [575.0, 513.0, 536.5, 577.5, 511.5, 348.5, 313.5, 363.0, 350.5, 354.5], 9: [644.0, 619.5, 716.5, 621.0, 819.0, 575.0, 577.0, 490.5, 658.5, 595.5], 10: [811.5, 848.5, 806.5, 796.5, 812.0, 726.0, 726.0, 742.5, 762.0, 768.0], 11: [742.0, 787, 801.5, 797.5, 802.5, 727.5, 712.5, 761.5, 609.0, 702.5], 12: [394.5, 614, 655.0, 612.0, 715.0, 577.0, 615.5, 643.5, 575.0, 565.0], 13: [819.0, 843.5, 800.5, 832.0, 862.5, 717.5, 759.5, 728.5, 683.0, 727.0], 14: [862, 901.5, 886, 903.5, 892.0, 895.5, 808, 741.0, 798, 810.5], 15: [806.0, 870.0, 897, 925.5, 944.5, 865.0, 835.5, 824.0, 842.5, 722.0], 16: [734.5, 778.0, 761, 811.0, 822.0, 706.0, 672.5, 621.0, 659.0, 717.0]}","{1: 227.05, 2: 635.1, 3: 1054.6, 4: 1408.55, 5: 230.1, 6: 616.55, 7: 1050.4, 8: 1432.75, 9: 238.8, 10: 609.3, 11: 1025.25, 12: 1379.8, 13: 298.0, 14: 571.8, 15: 1041.25, 16: 1367.25}","{1: 197.8, 2: 368.2, 3: 297.1, 4: 219.35, 5: 500.65, 6: 626.3, 7: 600.65, 8: 447.6, 9: 629.85, 10: 776.3, 11: 753.6, 12: 607.7, 13: 778.85, 14: 855.3, 15: 859.7, 16: 730.9}"
4,s86,"{1: [298, 395, 899.5, 360.0, 337, 364, 308.5, 410, 412.5, 491], 2: [724, 422.0, 1342, 572.5, 634, 649.0, 544.5, 706.0, 706.5, 678.5], 3: [1014.0, 904, 947, 992.5, 959, 877, 911.0, 893.5, 1126.5, 1085], 4: [1405.5, 1362.0, 1567, 1434.5, 1378, 1364.0, 1214.0, 1336, 1494.5, 1430.0], 5: [1324, 277, 283.0, 237, 293, 302.5, 216, 399.0, 437.5, 490], 6: [862, 556, 616, 644, 623, 537, 527.0, 741.5, 601.5, 786.5], 7: [745, 1053.0, 946, 897, 917.0, 877.0, 892.0, 999.0, 1088, 1080.5], 8: [1384.0, 1270.0, 685, 1460.0, 1254, 1256.0, 1161, 1420.5, 1389.0, 1532.5], 9: [959.5, 528, 417, 323.0, 372, 284.5, 133.0, 372, 391.5, 522], 10: [529.5, 547, 586, 628.0, 838, 654.0, 535.5, 628.5, 722.0, 783.0], 11: [621.5, 907, 976, 969.0, 964.5, 877.0, 860.0, 1154.0, 1067.0, 1067], 12: [1277, 924, 1451.5, 1503.0, 1046, 1259.0, 1177.5, 1506.5, 1543, 1625], 13: [491, 243.0, 394, 346.5, 390, 364.0, 331.5, 529.5, 421.0, 565], 14: [812, 687.5, 1180, 791.0, 607, 652.0, 482.5, 702.5, 644, 729.5], 15: [932, 849, 640, 814.5, 897, 802.5, 798, 972.0, 942, 1010], 16: [328, 1054, 1108, 909.0, 1307, 1111.0, 1163.0, 1238.5, 1276, 1494.0]}","{1: [397, 450, 754.5, 303.5, 513, 287, 114.0, 140, 245.5, 325], 2: [626, 528.5, 557, 403.5, 489, 274.0, 237.5, 296.0, 432.5, 427.5], 3: [321.5, 540, 358, 410.0, 457, 267, 60.0, 409.0, 450.0, 333], 4: [355.5, 403.0, 208, 356.0, 605, 231.0, 104.5, 338, 245.5, 361.0], 5: [707, 700, 552.0, 457, 523, 510.5, 464, 386.0, 408.5, 340], 6: [546, 621, 596, 523, 578, 532, 505.0, 477.5, 538.5, 462.0], 7: [739, 625.5, 499, 641, 566.0, 444.0, 382.5, 581.5, 427, 481.0], 8: [577.0, 596.5, 675, 559.5, 575, 524.0, 410, 542.5, 495.0, 539.5], 9: [746.5, 642, 558, 575.0, 613, 528.0, 549.5, 556, 507.0, 511], 10: [629.0, 616, 404, 689.5, 783, 596.5, 538.0, 547.0, 566.5, 545.0], 11: [608.5, 678, 711, 686.0, 722.0, 654.0, 494.5, 641.0, 553.0, 557], 12: [662, 630, 468.5, 615.0, 613, 655.0, 528.0, 693.5, 662, 725], 13: [462, 688.5, 634, 690.5, 680, 606.5, 620.0, 610.5, 604.5, 611], 14: [720, 756.5, 633, 722.0, 770, 708.0, 612.0, 696.5, 688, 711.0], 15: [722, 700, 626, 746.0, 733, 755.5, 707, 716.5, 727, 768], 16: [632, 767, 811, 735.5, 807, 693.5, 672.5, 725.0, 724, 799.5]}","{1: 387.75, 2: 648.35, 3: 968.45, 4: 1403.5, 5: 344.6, 6: 642.9, 7: 961.9, 8: 1321.55, 9: 402.25, 10: 640.25, 11: 961.45, 12: 1335.25, 13: 412.85, 14: 704.45, 15: 877.7, 16: 1138.25}","{1: 331.4, 2: 423.9, 3: 372.95, 4: 310.9, 5: 508.7, 6: 536.95, 7: 533.3, 8: 550.05, 9: 568.55, 10: 595.5, 11: 635.25, 12: 628.0, 13: 634.8, 14: 702.45, 15: 726.25, 16: 740.35}"
5,s58,"{1: [246, 96.0, 328.0, 552.0, 1035.0, 480.0, 490, 122.5, 108.0, 218.5], 2: [825.0, 566, 528.0, 629, 619, 800.0, 819.5, 527.5, 459, 512.5], 3: [524, 968, 1046.5, 933.5, 881, 1066.5, 1093.5, 1054.0, 947.0, 877.5], 4: [1494.0, 1233.0, 1300.0, 1123.0, 1343.5, 1348.0, 1323.5, 1220, 1112.0, 1170.0], 5: [743, 489.0, 380.5, 309.0, 424.0, 386, 529.5, 262.0, 170.0, -69.5], 6: [366.5, 518.0, 735.5, 707.0, 670.5, 712.5, 685.0, 371.0, 494, 551.5], 7: [323, 882, 941.5, 880.5, 1100, 1113.5, 840.5, 988.0, 722, 1005.5], 8: [1058.0, 1021.5, 1215.5, 1151.0, 1065, 1385.0, 1185, 1418, 1151.5, 1218], 9: [1087, 157, 417.5, 308.0, 314.5, 370.5, 376, 280.0, 128, -179.0], 10: [1008, 549.0, 637.5, 262.5, 267.0, 761.5, 604.5, 427.0, 411.0, 451.5], 11: [1032, 846.5, 791.5, 815.0, 819.5, 1098.5, 883, 1000.0, 723.5, 618.5], 12: [69.5, 1348.5, 986.0, 1154.5, 1118.5, 1387.5, 1393.0, 1414.5, 935.5, 1209], 13: [841.0, 64.0, 142.0, 475.5, 234.5, 315.5, 226.5, 68.5, -119.0, 165.0], 14: [464.0, 550.5, 422.0, 705.5, 842, 513.5, 701.0, 370.5, 337.0, 491.0], 15: [624, 765.5, 854, 696.5, 726.5, 1128.5, 982.5, 981.0, 861.0, 811.0], 16: [1025.5, 1215.5, 1181.0, 1021.5, 1304.0, 1550.0, 1307.5, 1150.5, 1335, 894.5]}","{1: [484, 368.0, 193.5, 334.0, 404.0, 21.5, 124, 85.5, 198.5, 138.0], 2: [492.0, 414, 483.0, 516, 275, -42.0, 149.5, 82.0, 205, 151.0], 3: [315, 294, 322.0, 325.0, 339, 46.5, 119.0, 99.0, 1.5, 112.0], 4: [553.0, 219.5, 258.5, 278.0, 231.0, 81.5, 68.0, 126, 247.5, 84.0], 5: [375, 565.0, 209.5, 419.0, 232.5, 351, 226.0, 309.5, 266.0, 310.0], 6: [719.0, 480.5, 388.0, 361.5, 489.5, 376.5, 213.5, 299.0, 348, 155.5], 7: [338, 393, 393.0, 489.5, 324, 216.0, 315.0, 430.0, 419, 214.5], 8: [492.0, 375.5, 533.0, 369.0, 358, 128.5, 404, 229, 247.0, 443], 9: [433, 622, 587.5, 563.0, 495.5, 191.0, 381, 548.5, 356, 523.5], 10: [587, 616.0, 519.5, 558.0, 770.0, 250.5, 465.0, 524.5, 383.0, 248.0], 11: [235, 573.0, 625.5, 506.0, 269.5, 444.0, 551, 206.5, 481.5, 418.0], 12: [719.5, 502.5, 486.0, 440.0, 664.5, 348.5, 318.5, 306.5, 242.5, 247], 13: [284.5, 638.5, 630.0, 666.5, 638.5, 388.5, 666.0, 656.5, 712.0, 494.0], 14: [551.5, 609.0, 864.5, 674.5, 890, 507.5, 487.5, 795.0, 603.5, 534.5], 15: [603, 615.0, 724, 783.0, 851.5, 550.5, 633.5, 526.0, 515.0, 499.0], 16: [611.0, 587.0, 549.5, 628.0, 333.0, 377.5, 279.0, 488.0, 720, 705.5]}","{1: 320.5, 2: 633.35, 3: 971.8, 4: 1253.2, 5: 364.95, 6: 579.3, 7: 918.2, 8: 1187.2, 9: 289.7, 10: 513.75, 11: 866.65, 12: 1186.1, 13: 223.1, 14: 529.4, 15: 835.7, 16: 1189.7}","{1: 233.5, 2: 282.55, 3: 200.4, 4: 188.55, 5: 313.4, 6: 365.95, 7: 347.4, 8: 363.85, 9: 483.15, 10: 477.0, 11: 428.6, 12: 422.5, 13: 583.35, 14: 651.2, 15: 624.8, 16: 531.8}"
6,s3,"{1: [273.5, 506, 401.5, 418, 403, 344, 421, 329.0, 432.5, 360], 2: [589, 616.5, 636.5, 690.0, 721.0, 665.0, 640.5, 665.5, 610.5, 541], 3: [958.0, 1103.0, 954, 845.5, 915.0, 964.5, 920, 1077, 999.0, 1039.0], 4: [1210, 1322.0, 1346, 1292.0, 1319.5, 1321.5, 1318.0, 1318.5, 1345, 1337.5], 5: [1250.5, 276.0, 416, 357, 281.5, 336, 322.5, 332.5, 440.5, 171.0], 6: [482.5, 615.5, 534, 611.0, 661.0, 622.5, 489.5, 503.0, 667.5, 676], 7: [988, 923.5, 976.5, 883, 929.0, 924, 884.0, 1011.0, 821.5, 936.0], 8: [1217.5, 1316.5, 1356, 1202, 1022.0, 1286.0, 1327.0, 1309.5, 1322.5, 1341.0], 9: [301.5, 541, 486, 314.0, 372.0, 384.5, 211.0, 407.0, 346.0, 215.0], 10: [600.5, 638.5, 622.0, 647.0, 540.0, 457.5, 573.5, 617, 586, 619.0], 11: [875, 955, 860.0, 951, 919.5, 846.0, 968.5, 981.0, 920, 917.0], 12: [1349.5, 1229.5, 1208, 1319.0, 1228.5, 1260.0, 1213.0, 1258, 1338, 1225], 13: [355.0, 370, 334, 409.0, 456.5, 321.0, 350.5, 375.5, 436.5, 431.0], 14: [927.5, 562.5, 649.5, 693.5, 696.5, 607.0, 667.5, 724.0, 682.5, 647.0], 15: [1065.5, 915, 975.5, 938.0, 1041.0, 824.0, 983, 998.5, 1012.0, 922.5], 16: [1356.5, 1113, 1310.0, 1324.0, 1310.5, 1277.0, 1308.5, 1296.0, 1238.5, 1316.0]}","{1: [182.0, 159, 263.0, 240, 193, 201, 212, 165.0, 167.0, 463], 2: [184, 237.0, 150.0, 207.0, 32.5, 129.0, 189.0, 102.5, 100.0, 203], 3: [111.5, 46.5, 71, 61.5, 98.5, 6.0, 67, -8, 153.0, 75.5], 4: [123, 60.0, 80, 61.5, 33.5, -10.0, 15.5, -13.5, -10, 21.0], 5: [157.5, 340.0, 351, 412, 372.5, 331, 358.0, 338.0, 237.0, 315.0], 6: [348.5, 312.0, 368, 356.5, 357.0, 204.5, 344.5, 342.0, 210.5, 354], 7: [264, 337.0, 326.5, 242, 349.5, 236, 394.5, 293.5, 276.0, 325.0], 8: [265.0, 296.0, 218, 184, 276.5, 198.0, 246.5, 221.5, 160.5, 222.0], 9: [392.5, 465, 463, 545.0, 484.5, 391.0, 480.5, 480.0, 514.0, 372.0], 10: [609.0, 465.0, 543.0, 568.5, 617.5, 509.5, 543.0, 584, 499, 537.5], 11: [366, 560, 524.0, 595, 579.0, 405.5, 460.0, 472.0, 387, 520.0], 12: [514.5, 477.0, 379, 430.5, 364.0, 434.0, 492.5, 462, 400, 427], 13: [675.5, 674, 568, 629.5, 688.0, 379.5, 614.0, 611.5, 573.5, 566.0], 14: [105.5, 664.0, 665.5, 748.0, 751.0, 646.0, 692.0, 718.5, 710.0, 741.5], 15: [265.0, 706, 631.0, 757.0, 725.5, 592.0, 595, 819.0, 762.0, 727.0], 16: [690.5, 585, 686.0, 693.0, 705.0, 638.5, 665.5, 517.5, 257.5, 530.5]}","{1: 387.05, 2: 639.25, 3: 981.85, 4: 1321.1, 5: 347.85, 6: 586.1, 7: 931.5, 8: 1286.5, 9: 352.7, 10: 597.5, 11: 919.45, 12: 1262.2, 13: 383.2, 14: 669.85, 15: 974.15, 16: 1294.3}","{1: 205.1, 2: 157.15, 3: 65.5, 4: 32.15, 5: 325.2, 6: 319.25, 7: 300.5, 8: 229.2, 9: 457.55, 10: 550.15, 11: 487.35, 12: 437.35, 13: 615.35, 14: 697.95, 15: 684.95, 16: 621.7}"
