frame,res,X,Y
,[[ 0.08833022  0.21083002 -0.97010468]],505,322
,[[ 0.12269214  0.17873779 -0.97083419]],412,230
,[[ 0.13484606  0.18001051 -0.97002753]],377,234
,[[ 0.11652108  0.17391632 -0.97349062]],429,217
,[[ 0.11161467  0.1781292  -0.9747812 ]],444,226
,[[ 0.09594148  0.18134769 -0.9733433 ]],487,236
,[[ 0.0331377   0.19758438 -0.97621137]],662,281
,[[ 0.06321798  0.17615964 -0.97987249]],579,217
,[[ 0.04511825  0.18023797 -0.97963291]],629,230
,[[ 0.0302134   0.19568554 -0.97742469]],669,273
,[[ 0.04635492  0.18577996 -0.97920279]],626,244
,[[ 0.06143837  0.18233057 -0.97758942]],585,236
,[[ 0.04933839  0.19196907 -0.9772328 ]],619,261
,[[ 0.0430905   0.18976776 -0.97741996]],636,256
,[[ 0.02739834  0.17644798 -0.97768767]],680,221
,[[ 0.0491993   0.1715818  -0.98027834]],620,203
,[[ 0.04768716  0.17800445 -0.97895479]],623,223
,[[ 0.04710846  0.16932081 -0.98143783]],626,196
,[[ 0.04865127  0.16638911 -0.98256858]],622,188
,[[ 0.05457266  0.16735877 -0.98215583]],605,192
,[[ 0.04738699  0.16959752 -0.9796354 ]],625,200
,[[ 0.06008488  0.16374503 -0.98170069]],590,183
,[[ 0.04292658  0.15614768 -0.979352  ]],638,165
,[[ 0.03440958  0.16698695 -0.97967561]],661,193
,[[ 0.02743742  0.16892521 -0.9789143 ]],680,199
,[[ 0.05114047  0.1651374  -0.97806761]],615,189
,[[ 0.03058951  0.17072393 -0.9761008 ]],671,208
,[[ 0.03363236  0.16995618 -0.97785579]],664,201
,[[ 0.02477574  0.17739038 -0.97681744]],687,224
,[[ 0.02632712  0.1742873  -0.97748929]],683,215
,[[ 0.0083585   0.18013412 -0.97787276]],733,230
,[[ 0.02639129  0.17734167 -0.97646888]],684,225
,[[ 0.01794465  0.17954585 -0.97722253]],707,230
,[[ 0.02557608  0.17271029 -0.97725846]],686,211
,[[ 0.03066454  0.17876928 -0.97988011]],672,224
,[[ 0.04588373  0.17913059 -0.97922935]],630,226
,[[ 0.05112859  0.16014736 -0.98148228]],616,174
,[[ 0.03354301  0.16620505 -0.98184341]],664,189
,[[ 0.04742378  0.15867835 -0.98227182]],626,170
,[[ 0.04287108  0.15716943 -0.98250075]],639,164
,[[ 0.0353025   0.16944481 -0.97980134]],659,200
,[[ 0.0324545   0.17318351 -0.97966308]],668,210
,[[ 0.0353715   0.1690311  -0.97972562]],659,200
,[[ 0.03274168  0.16657006 -0.98123664]],668,192
,[[ 0.03035419  0.1735389  -0.97967317]],673,212
,[[ 0.02046068  0.1720776  -0.98135943]],702,206
,[[ 0.03598391  0.16194165 -0.98144087]],658,178
,[[ 0.03275453  0.15954828 -0.98130419]],668,171
,[[ 0.03793108  0.15578636 -0.97530907]],653,166
,[[ 0.02034874  0.16997768 -0.97801091]],702,203
,[[ 0.03603935  0.17445836 -0.98031964]],659,214
,[[ 0.03563895  0.17812958 -0.9797883 ]],660,224
,[[ 0.01381169  0.1706537  -0.97957766]],721,204
,[[ 0.038171    0.1695983  -0.98158862]],654,200
,[[ 0.04231062  0.17400884 -0.97974849]],642,213
,[[ 0.04115025  0.16395798 -0.98217514]],647,183
,[[ 0.03942044  0.16268951 -0.98096682]],651,181
,[[ 0.02946232  0.17023943 -0.9811515 ]],678,201
,[[-0.02637439  0.20508006 -0.97225694]],833,306
,[[-0.0527288   0.20664664 -0.97346577]],906,308
,[[-0.10232248  0.21650635 -0.96457621]],1048,342
,[[-0.10048741  0.23468784 -0.96282237]],1042,394
,[[-0.10209879  0.22795538 -0.96534876]],1047,373
,[[-0.10712856  0.21140026 -0.96538854]],1062,327
,[[-0.10251246  0.20690366 -0.96750248]],1049,314
,[[-0.11486036  0.22762259 -0.96239759]],1084,376
,[[-0.12216017  0.22805621 -0.9611678 ]],1107,380
,[[-0.10817341  0.22645664 -0.96195031]],1067,374
,[[-0.09792726  0.22774328 -0.96384341]],1038,376
,[[-0.09571507  0.23604834 -0.96074011]],1032,401
,[[-0.10922655  0.23534293 -0.96034967]],1069,397
,[[-0.104165    0.23552408 -0.96157609]],1055,397
,[[-0.14472053  0.23084142 -0.95912566]],1172,389
,[[-0.14642566  0.22363375 -0.96035011]],1175,366
,[[-0.15251964  0.22064433 -0.95930247]],1196,360
,[[-0.14284718  0.21909361 -0.96192963]],1166,352
,[[-0.1221568   0.22216992 -0.96430478]],1106,358
,[[-0.11486306  0.2104101  -0.96596519]],1086,325
,[[-0.14316577  0.21988034 -0.96112027]],1170,358
,[[-0.13860582  0.22873364 -0.96054746]],1156,381
,[[-0.12073818  0.218577   -0.96562127]],1102,348
,[[-0.1240454   0.22111099 -0.96332428]],1114,359
,[[-0.11962512  0.22734094 -0.9630655 ]],1101,375
,[[-0.13418059  0.2154455  -0.96446314]],1143,341
,[[-0.10913058  0.23863004 -0.96054818]],1073,407
,[[-0.11524432  0.22337623 -0.96334042]],1090,366
,[[-0.11682158  0.23740782 -0.95952319]],1096,404
,[[-0.12216074  0.23124796 -0.95936782]],1111,389
,[[-0.11709086  0.22711043 -0.9607325 ]],1096,377
