frame,res,X,Y
,[[-0.01499843  0.05799525 -0.98757707]],704,314
,[[-0.02404551  0.06166545 -0.98308379]],727,324
,[[-0.01140886  0.09139783 -0.98226285]],697,394
,[[-0.00686379  0.08434354 -0.98253144]],687,377
,[[-0.01397833  0.09213108 -0.97924339]],706,394
,[[-0.0133739   0.10631979 -0.97487465]],706,433
,[[ 0.00494405  0.12687285 -0.9696706 ]],662,485
,[[-0.01345509  0.1280545  -0.96922662]],710,488
,[[-0.04553607  0.13014006 -0.97136876]],787,493
,[[-0.03085049  0.14132558 -0.96995765]],753,523
,[[-0.05550845  0.14513102 -0.96607479]],815,533
,[[-0.01187913  0.17053325 -0.95582913]],710,600
,[[ 0.04198336  0.15281676 -0.9799376 ]],580,555
,[[-0.01792     0.16523372 -0.98035511]],725,583
,[[-0.04653973  0.17917941 -0.97630594]],795,622
,[[-0.01213261  0.13006481 -0.98762214]],711,496
,[[ 0.07127834  0.18268632 -0.97253873]],508,628
,[[ 0.02149296  0.17801522 -0.96742642]],630,616
,[[-0.03480657  0.16079813 -0.97040507]],768,571
,[[-0.08053408  0.15697052 -0.95454544]],882,567
,[[-0.10326783  0.15837172 -0.95385749]],939,569
,[[-0.05844249  0.15077022 -0.96983974]],825,542
,[[-0.0402544   0.17200785 -0.96388595]],780,596
,[[-0.05632673  0.1462095  -0.96965922]],817,532
,[[-0.06419219  0.1578907  -0.97327255]],836,558
,[[-0.06564542  0.13557935 -0.97551211]],837,502
,[[-0.0771105   0.13894116 -0.97115398]],865,508
,[[-0.08225323  0.15961538 -0.97378094]],876,554
,[[-0.09991963  0.13910864 -0.97623902]],918,506
,[[-0.09648169  0.14893526 -0.97354843]],911,530
,[[-0.09387554  0.14004422 -0.97306789]],904,504
,[[-0.10906455  0.14135365 -0.97099852]],941,509
,[[-0.1097259   0.14839258 -0.96777973]],942,526
,[[-0.10138237  0.13333897 -0.9688008 ]],922,490
,[[-0.10083438  0.15112117 -0.96912984]],920,531
,[[-0.08949777  0.13441595 -0.969572  ]],893,489
,[[-0.10708036  0.14785134 -0.96257264]],939,521
,[[-0.1106775   0.15500526 -0.96503077]],947,535
,[[-0.13529489  0.14585913 -0.96230068]],1009,510
,[[-0.12016224  0.17456431 -0.96166169]],970,577
,[[-0.13330961  0.1482546  -0.96763126]],1005,511
,[[-0.10115759  0.14333728 -0.97212757]],924,494
,[[-0.0997375   0.14547445 -0.97782618]],919,495
,[[-0.12183645  0.16473223 -0.97362737]],975,546
,[[-0.12446155  0.15262601 -0.9744794 ]],980,516
,[[-0.13937993  0.13275413 -0.9756656 ]],1015,468
,[[-0.12691531  0.1412778  -0.97512836]],984,489
,[[-0.16315647  0.13718652 -0.96837886]],1075,483
,[[-0.16226893  0.14038793 -0.96661742]],1074,495
,[[-0.17304772  0.12750945 -0.96459401]],1101,466
,[[-0.15411384  0.12360254 -0.96962238]],1050,454
,[[-0.16078211  0.15368419 -0.96350387]],1069,534
,[[-0.16605106  0.16303989 -0.96578131]],1079,554
,[[-0.16309796  0.16056298 -0.96579838]],1072,548
,[[-0.16318086  0.16779511 -0.96482211]],1073,568
,[[-0.1569012   0.15293332 -0.96903503]],1057,529
,[[-0.14661013  0.14751584 -0.96874798]],1031,517
,[[-0.15792888  0.14793928 -0.96626677]],1062,520
,[[-0.17327402  0.12607558 -0.96610101]],1104,466
,[[-0.15206497  0.13614427 -0.97016498]],1051,490
,[[-0.18928165  0.11784102 -0.96112332]],1148,446
,[[-0.15671064  0.10900366 -0.97103267]],1066,423
,[[-0.14230373  0.11537785 -0.97290823]],1031,440
,[[-0.14884522  0.11633127 -0.97182182]],1051,442
,[[-0.1459637   0.11563205 -0.97215748]],1047,441
,[[-0.14009603  0.11982946 -0.97266606]],1032,450
,[[-0.14828226  0.1177207  -0.97252478]],1055,444
,[[-0.13822666  0.11956729 -0.97499617]],1030,450
,[[-0.14694024  0.12375199 -0.97200211]],1054,461
,[[-0.15015581  0.12276165 -0.97357815]],1062,458
,[[-0.14048582  0.12796253 -0.97474497]],1037,469
,[[-0.14735613  0.10625257 -0.97488803]],1056,416
,[[-0.14421943  0.09583284 -0.97104111]],1050,391
,[[-0.13863823  0.10278697 -0.97094926]],1039,410
,[[-0.12703311  0.10323469 -0.9697059 ]],1012,412
,[[-0.11731372  0.1025183  -0.96878233]],988,413
,[[-0.09013082  0.07978142 -0.97534522]],920,357
,[[-0.07164501  0.10384613 -0.97961371]],875,415
,[[-0.08361017  0.11311831 -0.97808163]],905,438
,[[-0.06752911  0.12334746 -0.97778243]],866,464
,[[-0.0298418   0.11991045 -0.98077459]],771,455
,[[-0.04563658  0.11834635 -0.97923262]],807,451
,[[-0.00491492  0.10535093 -0.98321749]],705,417
,[[-0.01158746  0.10509353 -0.98260605]],719,417
,[[-0.01391818  0.12941756 -0.97816135]],723,480
,[[-0.01189392  0.12227721 -0.98202388]],715,460
,[[-0.00286225  0.12028381 -0.97761957]],693,455
,[[-0.0141232   0.12754042 -0.9780213 ]],718,473
,[[-0.01194998  0.1334406  -0.97314661]],711,490
,[[-0.01876941  0.16214118 -0.97299989]],727,562
,[[-0.04252248  0.14048116 -0.97867633]],783,509
,[[-0.03108921  0.11765798 -0.98498721]],754,454
,[[-0.0379921   0.14544523 -0.98210654]],770,523
,[[-0.04179043  0.16307364 -0.98014016]],777,567
,[[-0.04764022  0.17845944 -0.9732494 ]],791,606
,[[-0.03216047  0.1812202  -0.97322537]],750,611
,[[-0.09138783  0.15387431 -0.97140712]],896,543
,[[-0.09809958  0.14881746 -0.97200449]],913,530
,[[-0.09924824  0.13076142 -0.97828204]],914,485
,[[-0.1143332   0.13423755 -0.96941884]],955,497
,[[-0.09951241  0.1465124  -0.97066337]],916,524
,[[-0.07746816  0.13043706 -0.97558479]],860,483
,[[-0.07422964  0.12370981 -0.97837627]],852,467
,[[-0.06981996  0.11419502 -0.97984627]],842,441
,[[-0.05936356  0.12704398 -0.97746426]],817,475
,[[-0.08843825  0.12567982 -0.97287358]],892,472
,[[-0.08178203  0.13843787 -0.97029899]],877,505
,[[-0.07504694  0.11805245 -0.97311182]],859,453
,[[-0.06113939  0.14214092 -0.97412882]],825,512
,[[-0.08518063  0.15534321 -0.97731121]],885,548
,[[-0.04474656  0.14833839 -0.97930511]],785,532
,[[-0.0519914   0.19337616 -0.9725397 ]],805,651
,[[-0.05654424  0.20114346 -0.96899494]],816,667
,[[-0.0462783   0.20305712 -0.96536193]],792,673
,[[-0.07357434  0.17943184 -0.96623171]],858,613
,[[-0.05726067  0.20296299 -0.96883329]],817,667
,[[-0.05331839  0.18195146 -0.9703051 ]],809,614
,[[-0.04349691  0.16988235 -0.97516856]],785,578
,[[-0.00379175  0.15064304 -0.97582661]],689,533
,[[-0.02009042  0.1219863  -0.97909948]],730,459
