frame,res,X,Y
,[[-0.12015818  0.18492554 -0.97211278]],843,353
,[[-0.09403952  0.19312027 -0.97394868]],774,372
,[[-0.10751201  0.18347896 -0.97151126]],808,349
,[[-0.11570687  0.18396688 -0.97181644]],830,350
,[[-0.11879789  0.17093709 -0.97385692]],837,315
,[[-0.10700149  0.18012004 -0.97429816]],806,339
,[[-0.11665542  0.16867092 -0.97281892]],831,309
,[[-0.10733015  0.16899339 -0.97642335]],807,309
,[[-0.1057263   0.16857321 -0.97502371]],803,308
,[[-0.10540277  0.17175112 -0.97341083]],802,318
,[[-0.11096921  0.17432182 -0.97357725]],817,325
,[[-0.13208651  0.18102132 -0.96727438]],873,346
,[[-0.11923582  0.19218294 -0.96596069]],841,373
,[[-0.13366749  0.19056587 -0.96409622]],879,371
,[[-0.12839799  0.19513801 -0.96484194]],865,382
,[[-0.12322611  0.18820391 -0.96822468]],852,363
,[[-0.14224377  0.1990572  -0.96248885]],902,394
,[[-0.12915798  0.2018918  -0.9633087 ]],868,400
,[[-0.13694739  0.22551758 -0.95802165]],889,463
,[[-0.08201175  0.21621233 -0.96807637]],744,432
,[[-0.07266259  0.20183077 -0.97274272]],719,394
,[[-0.10311538  0.20090127 -0.96857139]],798,396
,[[-0.09525891  0.19597577 -0.96904745]],778,382
,[[-0.10821529  0.19547028 -0.9676286 ]],812,382
,[[-0.08265851  0.1790543  -0.9746018 ]],744,334
,[[-0.07922722  0.18250022 -0.97367811]],735,343
,[[-0.09429889  0.18667195 -0.9690289 ]],776,359
,[[-0.0971286   0.1864596  -0.96934232]],783,357
,[[-0.09297331  0.18602188 -0.97022163]],772,354
,[[-0.09116669  0.18874337 -0.96980965]],767,361
,[[-0.08623498  0.19759302 -0.96807141]],756,389
,[[-0.10820347  0.18601994 -0.9704999 ]],811,355
,[[-0.13045188  0.17742769 -0.967879  ]],870,335
,[[-0.11074929  0.19374592 -0.9673598 ]],818,374
,[[-0.12347188  0.18597003 -0.97065381]],852,355
,[[-0.10920867  0.19499063 -0.96960542]],816,380
,[[-0.11423351  0.17796229 -0.97331305]],827,335
,[[-0.10524993  0.17016359 -0.97555408]],802,308
,[[-0.14061109  0.17049389 -0.9701191 ]],895,315
