frame,res,X,Y
,[[-0.0625461   0.07270536 -0.94949371]],807,247
,[[-0.03713792  0.06358809 -0.96079179]],763,229
,[[-0.05407744  0.06740277 -0.95344035]],793,238
,[[-0.05046551  0.06500611 -0.95555997]],785,235
,[[-0.051517    0.06639524 -0.95611448]],787,235
,[[-0.04837595  0.06865767 -0.95154338]],782,240
,[[-0.07581653  0.06933295 -0.9518975 ]],829,243
,[[-0.07385457  0.06917776 -0.95245209]],825,241
,[[-0.08963636  0.08204923 -0.95343285]],852,265
,[[-0.0918286   0.08263219 -0.95618542]],855,266
,[[-0.1014758   0.07481343 -0.95622646]],870,252
,[[-0.09061206  0.0764897  -0.95844297]],852,254
,[[-0.08924325  0.08020514 -0.95628758]],850,259
,[[-0.09992848  0.07764943 -0.95419775]],868,256
,[[-0.11996985  0.09299387 -0.95269975]],904,284
,[[-0.1451757   0.07039011 -0.95584049]],946,244
,[[-0.15705234  0.07017073 -0.95715615]],967,243
,[[-0.1409071   0.07234912 -0.95854747]],939,247
,[[-0.13007055  0.08018973 -0.96043209]],920,259
,[[-0.14868846  0.07248431 -0.95592764]],953,247
,[[-0.154475    0.0682266  -0.95635121]],963,240
,[[-0.15295494  0.06471735 -0.9576653 ]],959,234
,[[-0.14844871  0.06083102 -0.96154701]],952,227
,[[-0.14050684  0.05070603 -0.96163976]],940,210
,[[-0.12086515  0.05927919 -0.97055444]],903,221
,[[-0.13446175  0.06658859 -0.96433482]],928,236
,[[-0.1428669   0.06591119 -0.96504591]],944,236
,[[-0.10896244  0.05936811 -0.97092367]],885,222
,[[-0.14503946  0.05364391 -0.96297754]],948,215
,[[-0.1268275   0.077236   -0.96339586]],917,254
,[[-0.14828868  0.05735184 -0.95925182]],955,221
,[[-0.13819446  0.06778035 -0.95979632]],938,238
,[[-0.13041985  0.06158085 -0.96819345]],922,226
,[[-0.11131295  0.07026692 -0.96703234]],889,239
,[[-0.02903844  0.07568786 -0.95610383]],750,252
,[[ 0.01705757  0.05701817 -0.96795738]],672,217
,[[ 0.02541013  0.04226925 -0.97321262]],658,193
,[[ 0.021256    0.01999953 -0.97398917]],665,155
,[[ 0.02625214  0.0223236  -0.97581879]],656,161
,[[ 0.03556366  0.02334981 -0.97666836]],641,163
,[[ 0.00849372  0.03282646 -0.97207771]],685,178
,[[-0.00492792  0.04834741 -0.97567482]],709,205
,[[ 3.68354994e-05  5.06240559e-02 -9.71055163e-01]],700,208
,[[-0.00645122  0.04423373 -0.97605821]],712,198
,[[ 0.00422848  0.0429115  -0.97496636]],694,195
,[[-7.93817506e-04  5.36395081e-02 -9.75884796e-01]],702,213
,[[ 0.0018284   0.04694626 -0.97341947]],698,202
,[[-0.00480541  0.04560721 -0.97713555]],709,199
,[[ 0.01604607  0.04658321 -0.97189462]],674,200
,[[ 0.01090689  0.05570363 -0.9752434 ]],682,216
,[[-0.0063023   0.08489978 -0.95770524]],711,269
,[[-0.04535786  0.1451189  -0.95543182]],778,376
,[[-0.06656414  0.14858379 -0.95325369]],814,380
,[[-0.06080425  0.14537907 -0.95727854]],805,374
,[[-0.06644993  0.14990757 -0.95426207]],815,381
,[[-0.06534762  0.16144578 -0.95820774]],811,399
,[[-0.06709303  0.15547767 -0.95603492]],815,390
,[[-0.06419314  0.15491473 -0.95584476]],810,389
,[[-0.09286778  0.11183949 -0.95084849]],860,316
,[[-0.07486748  0.03839792 -0.95103491]],828,188
,[[-0.09489065  0.04150245 -0.96236905]],861,193
,[[-0.09042431  0.01720478 -0.96688543]],852,150
,[[-0.08718362  0.03183998 -0.97059691]],846,175
,[[-0.08061465  0.03848614 -0.97607965]],834,185
,[[-0.09053112  0.02184309 -0.97434367]],851,157
,[[-0.09362538  0.00989495 -0.97875283]],855,137
,[[-0.09064621  0.01513942 -0.97961158]],850,146
,[[-0.10164021  0.03878718 -0.97451226]],869,186
,[[-0.11333365  0.01167118 -0.97530292]],889,142
,[[-0.09941915  0.00931396 -0.97593609]],865,137
,[[-0.11726716  0.01517534 -0.97585339]],895,148
,[[-0.10663768  0.02004703 -0.9738317 ]],878,155
,[[-0.06142194  0.00549302 -0.98523107]],801,132
,[[-2.16052305e-02  3.00733610e-04 -9.84075290e-01]],734,123
,[[-0.01395707 -0.02298935 -0.98671484]],721,85
,[[ 0.00276339 -0.03699503 -0.98558202]],694,61
,[[ 0.00967471 -0.03559999 -0.98723391]],682,64
,[[ 0.01535594 -0.02410198 -0.98392821]],673,82
,[[ 0.01699523 -0.02283888 -0.98427381]],670,84
,[[ 0.01148749 -0.03314456 -0.98453288]],679,68
,[[ 0.03520609 -0.01653898 -0.98410417]],640,95
,[[ 0.0240989  -0.01931101 -0.98543711]],657,91
,[[ 0.00377852 -0.00541539 -0.98792475]],691,115
,[[ 0.02273996 -0.0188288  -0.98265312]],660,91
,[[ 0.02602414 -0.00329302 -0.98502338]],655,117
,[[ 0.03728866 -0.00625426 -0.98422145]],637,112
,[[ 0.03741225 -0.01180343 -0.98416324]],638,102
,[[ 0.01895057 -0.01114574 -0.983513  ]],668,104
,[[ 0.04011907  0.02946055 -0.97806012]],631,173
,[[ 0.05874606  0.1371839  -0.97623121]],599,354
,[[-0.02808311  0.17982785 -0.98076019]],744,425
,[[-0.03336252  0.15711639 -0.98494712]],752,387
,[[-0.00599279  0.15980224 -0.98570792]],707,393
,[[ 0.023102    0.18257846 -0.97765896]],658,432
,[[ 0.01560782  0.20067276 -0.97158361]],670,465
,[[ 0.04205791  0.21110711 -0.96605183]],626,484
