frame,res,X,Y
,[[-0.04596813  0.06360426 -0.96202998]],789,217
,[[-0.04406892  0.06301368 -0.96368325]],785,217
,[[-0.04505401  0.04692982 -0.96557326]],785,191
,[[-0.03464542  0.05060822 -0.95932398]],768,196
,[[-0.03738306  0.06692091 -0.95703688]],770,225
,[[-0.04181269  0.06377248 -0.95666658]],775,222
,[[-0.03972227  0.0680177  -0.95700174]],769,229
,[[-0.06057827  0.06170929 -0.95881302]],801,218
,[[-0.05738126  0.05365688 -0.96105059]],792,204
,[[-0.05620477  0.06056275 -0.96039778]],788,216
,[[-0.04028105  0.09673956 -0.9644398 ]],757,281
,[[-0.03590932  0.1720701  -0.97979905]],745,407
,[[-0.0643663   0.18406367 -0.969012  ]],790,430
,[[-0.05454448  0.14564123 -0.96881881]],772,369
,[[-0.05776801  0.11133825 -0.96705626]],776,312
,[[-0.04376873  0.07666217 -0.96420084]],751,252
,[[-0.06277302  0.07654269 -0.96068413]],784,254
,[[-0.06342514  0.05079391 -0.96414798]],784,210
,[[-0.05363282  0.05105053 -0.95761954]],769,211
,[[-0.05495022  0.03881211 -0.96102928]],773,189
,[[-0.05753743  0.04926176 -0.96149912]],779,205
,[[-0.05655248  0.05000182 -0.96006778]],781,207
,[[-0.06653167  0.05047892 -0.96245913]],799,206
,[[-0.05633838  0.06477004 -0.96128152]],783,231
,[[-0.05065857  0.05869996 -0.9646032 ]],775,222
,[[-0.06753807  0.04629052 -0.9617542 ]],805,200
,[[-0.06385134  0.04105651 -0.96429569]],799,191
,[[-0.05601672  0.0412289  -0.96692327]],786,192
,[[-0.05559173  0.05767335 -0.96728333]],785,221
,[[-0.05091889  0.04446933 -0.96652089]],778,199
,[[-0.03920693  0.03529207 -0.97102412]],758,181
,[[-0.04958242  0.04898301 -0.96464141]],776,205
,[[-0.07883166  0.03607735 -0.96208596]],827,181
,[[-0.07305136  0.02923186 -0.96390434]],819,170
,[[-0.07253343  0.00810241 -0.96886643]],817,131
,[[-8.06156670e-02 -2.78238090e-04 -9.74135699e-01]],831,115
,[[-0.08222959  0.02395158 -0.97673605]],834,156
,[[-0.07963754 -0.00248479 -0.98011596]],830,111
,[[-0.07889197 -0.00447208 -0.98059827]],830,107
,[[-0.11409058  0.00956115 -0.97601745]],889,128
,[[-0.08792355 -0.00161228 -0.97752645]],846,109
,[[-0.08417988 -0.01299509 -0.98311423]],840,89
,[[-0.07212507 -0.00136073 -0.98144573]],821,107
,[[-0.09527797 -0.01056509 -0.97536784]],861,90
,[[-0.07617469 -0.00658365 -0.98294809]],828,98
,[[-0.09623998 -0.01866596 -0.97647115]],863,76
,[[-0.0974144  -0.01829783 -0.97935344]],864,78
,[[-0.09722703 -0.03559189 -0.97694186]],863,48
,[[-0.09425037 -0.03825057 -0.98040858]],857,44
,[[-0.07712664 -0.03996525 -0.98141755]],828,41
,[[-0.10174603 -0.03147843 -0.98161637]],867,56
,[[-0.08586456 -0.03003903 -0.98256752]],841,58
,[[-0.09301094 -0.02229261 -0.98281624]],851,71
,[[-0.09432007 -0.02918277 -0.98234062]],853,59
,[[-0.09250329 -0.01762601 -0.98553712]],848,80
,[[-0.06857031 -0.00230554 -0.9820446 ]],807,104
,[[-0.07628369  0.04148436 -0.97323425]],820,179
,[[-0.07223524  0.06196865 -0.97220291]],811,213
,[[-0.08948113  0.06608876 -0.96778777]],839,222
,[[-0.08011827  0.06798698 -0.96889175]],821,224
,[[-0.10806722  0.05517222 -0.96324307]],868,202
,[[-0.09506197  0.07906324 -0.96377889]],845,245
,[[-0.08194294  0.06529739 -0.96671342]],821,219
,[[-0.08666727  0.07340794 -0.96424306]],829,234
,[[-0.08690557  0.06623504 -0.96448044]],830,224
,[[-0.08955646  0.06938714 -0.96514583]],834,228
,[[-0.08521597  0.06563173 -0.96690679]],827,223
,[[-0.07599889  0.06934133 -0.966095  ]],811,229
,[[-0.07986374  0.07509985 -0.96396007]],818,238
,[[-0.08965518  0.08045595 -0.96182829]],835,246
,[[-0.07513553  0.07340965 -0.95955369]],811,235
,[[-0.07903893  0.06335241 -0.96445018]],816,217
,[[-0.07209564  0.05640787 -0.96839465]],805,204
,[[-0.07599133  0.05670789 -0.96823114]],811,205
,[[-0.08258446  0.05527364 -0.96899947]],822,203
,[[-0.07780787  0.05401673 -0.97053664]],814,201
,[[-0.09068876  0.07048779 -0.96600493]],836,229
,[[-0.07520979  0.06566731 -0.96823905]],811,223
,[[-0.097144    0.07048326 -0.96312395]],848,232
,[[-0.07238042  0.074605   -0.96923106]],806,238
,[[-0.07497535  0.06206372 -0.96666256]],811,218
,[[-0.07856384  0.06538615 -0.96571343]],818,223
,[[-0.08370373  0.0565967  -0.9638602 ]],827,209
,[[-0.07426646  0.0574467  -0.9684233 ]],811,209
,[[-0.07520388  0.05704306 -0.9645295 ]],815,208
,[[-0.06991925  0.05757509 -0.96816959]],805,209
,[[-0.07480488  0.05381204 -0.96186908]],815,204
,[[-0.06706395  0.05612759 -0.96673746]],802,208
,[[-0.06938921  0.05443091 -0.96723492]],807,205
,[[-0.09230998  0.06193106 -0.96489842]],846,219
,[[-0.0874791   0.06335957 -0.96255165]],837,219
,[[-0.06947201  0.06347884 -0.96015314]],808,219
,[[-0.08259614  0.06512029 -0.959785  ]],830,222
,[[-0.07814625  0.0668316  -0.96131629]],822,226
,[[-0.09249487  0.07021034 -0.96277367]],846,231
,[[-0.0810996   0.06311321 -0.96403879]],827,219
,[[-0.06705632  0.06430229 -0.96437598]],804,223
,[[-0.06585625  0.06899078 -0.96616439]],801,229
,[[-0.04868417  0.06835471 -0.96736696]],773,227
,[[-0.06624164  0.06739888 -0.96750676]],802,227
,[[-0.05472214  0.06177266 -0.96616055]],783,216
,[[-0.06789803  0.06789514 -0.96179612]],805,228
,[[-0.06127843  0.07018479 -0.9612266 ]],794,233
,[[-0.06885797  0.07177194 -0.96179243]],807,235
,[[-0.06985215  0.06841122 -0.96494984]],807,228
,[[-0.07363829  0.07217217 -0.96046771]],815,238
,[[-0.06277587  0.07431475 -0.95774776]],797,242
,[[-0.06499553  0.07059692 -0.96219789]],799,233
,[[-0.0651437   0.0620015  -0.96323066]],800,219
,[[-0.0599596   0.05523844 -0.95905921]],792,207
,[[-0.06989506  0.07544338 -0.9621437 ]],808,242
,[[-0.06634815  0.05174183 -0.96372972]],802,201
,[[-0.05929459  0.05235004 -0.9633095 ]],790,201
,[[-0.05098847  0.0530877  -0.96558731]],776,204
,[[-0.05613548  0.06169882 -0.96429392]],785,219
,[[-0.07956374  0.06284007 -0.9642244 ]],824,220
,[[-0.06080348  0.06532225 -0.96793079]],793,224
,[[-0.04094994  0.07376816 -0.9590526 ]],759,240
,[[-0.01793539  0.10859383 -0.95893426]],720,299
,[[-0.02727824  0.12250687 -0.95522224]],736,324
,[[-0.03062893  0.15011406 -0.95192194]],742,376
,[[-0.01448559  0.15092431 -0.95656236]],714,375
,[[-0.0119781   0.14694483 -0.95554583]],710,369
,[[-0.02083521  0.1632546  -0.9510997 ]],725,399
,[[-0.03221636  0.14840876 -0.95488097]],745,372
,[[-0.03316999  0.14266434 -0.95707385]],746,362
,[[-0.0242209   0.14231619 -0.9555862 ]],731,362
,[[-0.03011551  0.14466675 -0.9600041 ]],741,364
,[[-0.04039196  0.14838022 -0.95736187]],759,371
,[[ 0.00442905  0.16229222 -0.96102513]],684,393
,[[-0.0106865   0.1472508  -0.96333471]],709,368
,[[-0.00640194  0.1477953  -0.96069733]],702,370
,[[-0.01591696  0.15488517 -0.96089526]],718,379
,[[-0.02914872  0.15668331 -0.96190421]],741,384
,[[-0.01933597  0.16028226 -0.95971001]],724,390
,[[-0.00818395  0.15968138 -0.96387399]],705,389
,[[-0.00156041  0.15214954 -0.96296179]],694,375
,[[-0.01924526  0.15498381 -0.96100914]],724,382
,[[-0.01030713  0.14689841 -0.95935563]],709,370
,[[-0.00635609  0.14877245 -0.96041721]],702,372
,[[-0.00684782  0.11025489 -0.96410349]],704,304
,[[-0.02964561  0.07583517 -0.96230219]],743,244
,[[-0.0439588   0.07236774 -0.95994774]],768,239
,[[-0.0171033   0.06743742 -0.96090312]],722,231
,[[-0.05097172  0.08431627 -0.96142122]],779,261
,[[-0.0506227   0.09201293 -0.95853121]],778,273
,[[-0.03689728  0.07302435 -0.96306983]],756,238
,[[-0.05518136  0.06441375 -0.9626607 ]],786,225
,[[-0.05955946  0.05269595 -0.96392661]],795,205
,[[-0.0530862   0.0440203  -0.96609002]],784,190
,[[-0.05400271  0.06383619 -0.97003854]],784,225
,[[-0.06637383  0.06495641 -0.96130862]],806,227
,[[-0.06432981  0.06047172 -0.96495505]],803,218
,[[-0.05960208  0.06057525 -0.96404363]],795,218
,[[-0.04934293  0.06637003 -0.96526975]],779,228
,[[-0.05891834  0.06779446 -0.9626288 ]],795,230
,[[-0.06008845  0.06361492 -0.96025665]],798,222
,[[-0.0585081   0.05282783 -0.9616215 ]],795,204
,[[-0.07778733  0.06259794 -0.96003467]],828,219
,[[-0.06995548  0.07359398 -0.95830255]],815,240
,[[-0.07709512  0.05425635 -0.96165378]],827,206
,[[-0.05640322  0.05574858 -0.96057008]],792,209
,[[-0.06604822  0.05618938 -0.95992652]],808,210
,[[-0.05697266  0.05275363 -0.96340718]],793,204
,[[-0.05458362  0.06302499 -0.96066911]],789,223
,[[-0.04899522  0.0624874  -0.96364598]],779,221
,[[-0.04501997  0.06496096 -0.96328958]],771,224
,[[-0.05286442  0.06816949 -0.96322223]],785,232
,[[-0.06400658  0.05056443 -0.96653561]],804,202
,[[-0.08203405  0.04628949 -0.96497722]],834,194
,[[-0.06100897  0.0637161  -0.96406452]],799,224
,[[-0.03716177  0.07103943 -0.96781569]],759,238
,[[-0.05259278  0.08342237 -0.96089776]],785,259
,[[-0.04341902  0.1215598  -0.95820004]],769,324
,[[-0.05073286  0.15490776 -0.95722091]],781,384
,[[-0.02462807  0.17113083 -0.95238209]],736,414
,[[-0.05447033  0.18055545 -0.94884014]],789,433
,[[-0.07329107  0.18220796 -0.95222669]],821,433
,[[-0.06804261  0.18806062 -0.95133837]],812,446
,[[-0.05581282  0.18623602 -0.95321541]],792,442
,[[-0.06839329  0.17605521 -0.95032526]],813,422
,[[-0.07227521  0.17502396 -0.9492362 ]],820,420
,[[-0.06959533  0.17527336 -0.95405621]],815,420
,[[-0.07281761  0.16952166 -0.95134353]],821,409
,[[-0.06828419  0.16820966 -0.95207416]],814,409
,[[-0.07197093  0.16371078 -0.95456552]],820,402
,[[-0.06343873  0.16974012 -0.9506468 ]],805,411
,[[-0.05870975  0.16957617 -0.95374875]],797,411
,[[-0.05475679  0.173412   -0.95557373]],790,416
,[[-0.06355146  0.17400603 -0.95481025]],806,420
