frame,res,X,Y
,[[-0.01466896  0.02350906 -0.99259117]],728,244
,[[ 0.00391664  0.01235563 -0.99387198]],684,217
,[[-0.01057214  0.02195294 -0.99436911]],719,234
,[[-0.01351082 -0.01201903 -0.99606964]],729,149
,[[-0.01275778  0.00822954 -0.9955262 ]],726,199
,[[-0.07351816 -0.00479503 -0.99220356]],867,164
,[[-0.02330732 -0.00558819 -0.99638811]],751,162
,[[-0.03401162 -0.00968886 -0.99628992]],776,151
,[[-0.0442718  -0.01068678 -0.99225609]],799,150
,[[-0.08692239 -0.00562072 -0.98585196]],900,163
,[[-0.0869248  -0.00938566 -0.98911799]],896,163
,[[-0.0488174   0.01845611 -0.99116814]],798,235
,[[-0.05617863  0.03408555 -0.99129448]],816,274
,[[-0.0405189   0.05125592 -0.98885554]],774,318
,[[-0.01283679  0.01068417 -0.99343246]],697,213
,[[-0.02284349  0.03050352 -0.99299394]],732,264
,[[-0.02745627  0.00200989 -0.9911662 ]],738,192
,[[-0.01892959 -0.00410772 -0.99006224]],716,176
,[[-0.01260729  0.02695899 -0.99350549]],694,258
,[[-0.03931807  0.03410662 -0.99299851]],771,273
,[[-0.06032584  0.04481442 -0.98965182]],824,302
,[[-0.06427486  0.04246875 -0.99099938]],834,296
,[[-0.06658447  0.04453561 -0.99371502]],840,300
,[[-0.02807891  0.02887645 -0.9947379 ]],742,262
,[[-0.0435981   0.08713521 -0.9902258 ]],777,419
,[[-0.0913456   0.09813791 -0.98492373]],905,447
,[[-0.07816463  0.09763256 -0.98581954]],872,447
,[[-0.04073559  0.04511692 -0.98643748]],773,305
,[[-0.05764983  0.04240123 -0.98646087]],815,302
,[[-0.08528777  0.02818449 -0.98757085]],897,241
,[[-0.11506739  0.04757643 -0.97541121]],972,316
,[[-0.09912265  0.0341021  -0.98429692]],927,277
,[[-0.03350977  0.04429884 -0.98985579]],756,302
,[[-0.08979388  0.04994627 -0.99338281]],895,341
,[[-0.09126957  0.06872326 -0.99135886]],898,408
,[[-0.0673664   0.07204016 -0.9881826 ]],829,415
,[[-0.15677661  0.07127907 -0.98503707]],1100,413
,[[-0.12448819  0.05423775 -0.9904899 ]],1001,358
,[[-0.10610927  0.04043199 -0.99160548]],942,316
,[[-0.09537155  0.07988639 -0.99042269]],912,436
,[[-0.10339241  0.07252925 -0.99120551]],936,416
,[[-0.04991072  0.04779539 -0.99665491]],769,337
,[[-0.08304219  0.07211884 -0.99270787]],873,410
,[[-0.04322499  0.05549972 -0.99581627]],751,358
,[[-0.07227622  0.01840404 -0.99714695]],842,246
,[[-0.11167117  0.02303767 -0.99231414]],960,264
,[[-0.06690783  0.04164883 -0.99682267]],823,324
,[[-0.05824476 -0.02431683 -0.98832408]],834,116
,[[-0.09779093  0.02585637 -0.99281344]],929,225
,[[-0.04488675  0.00691144 -0.99067541]],802,193
,[[-0.0338936   0.01200136 -0.9946277 ]],776,203
,[[-0.02367121 -0.01862152 -0.99351904]],751,134
,[[-0.04020159  0.01128903 -0.98611057]],790,207
,[[-0.07803274  0.03134046 -0.9812742 ]],881,252
,[[-0.07409799  0.01726006 -0.97938908]],872,220
,[[-0.07754876  0.01574904 -0.98612438]],878,216
,[[-0.08451903  0.00980621 -0.99011886]],895,202
,[[-0.09576138  0.00958635 -0.98929802]],920,202
,[[-0.09958121  0.01564561 -0.98498828]],929,222
,[[-0.07623032  0.01468122 -0.98234149]],874,219
,[[-0.0538816   0.04242937 -0.98633742]],819,285
,[[-0.05346661  0.02077711 -0.98654798]],819,237
,[[-0.10896421  0.04367964 -0.98859685]],949,292
,[[-0.11318905  0.00907273 -0.98126352]],964,211
,[[-0.11402636  0.03024464 -0.9886775 ]],963,264
,[[-0.06149389  0.02404141 -0.98988589]],840,249
,[[-0.08363014  0.0189325  -0.99194805]],893,236
,[[-0.08859004  0.00450043 -0.99382439]],904,199
,[[-0.07715709  0.04476102 -0.99166367]],870,340
,[[-0.06916441  0.04132108 -0.99440917]],845,334
,[[-0.09539531  0.05914367 -0.99154085]],920,379
,[[-0.09601554 -0.00106549 -0.99420784]],919,214
,[[-0.07568809  0.04228713 -0.99076779]],876,291
,[[-0.04936901  0.0227189  -0.99753463]],791,278
,[[-0.02763642  0.00767448 -0.99757183]],733,235
,[[-0.01824253  0.02219036 -0.99900807]],694,289
,[[-3.91419300e-02  3.66939952e-04 -9.99108434e-01]],758,223
,[[-0.00778763  0.00867208 -0.99697059]],674,238
,[[-0.05287866  0.01454619 -0.99220136]],821,224
,[[-0.05121033  0.00223533 -0.99639023]],818,195
,[[ 0.01188917 -0.00452651 -0.99911082]],621,202
,[[-0.01802671  0.02764996 -0.99754152]],708,287
,[[-0.02363897  0.03305167 -0.9966924 ]],725,302
,[[-0.02078086  0.024616   -0.9974124 ]],714,281
,[[-0.03339381  0.04069331 -0.99820222]],777,289
,[[-0.04300326  0.03625352 -0.99686859]],799,276
,[[-0.1010893   0.06036513 -0.98950056]],939,382
,[[-0.0804053   0.01208002 -0.99622327]],875,252
,[[-0.03376602  0.00593784 -0.99857707]],741,240
,[[-0.0992104   0.0255574  -0.99437376]],931,283
,[[-0.06399475  0.01151827 -0.99695921]],831,247
,[[-0.09807191  0.03635655 -0.99390814]],927,315
,[[-0.11503824  0.01912829 -0.99168026]],976,271
,[[-0.0682991   0.02574403 -0.99710742]],843,285
,[[-0.07830562  0.03871376 -0.99560084]],869,319
,[[-9.49285351e-02  2.36774331e-04 -9.91009307e-01]],918,193
,[[-0.06956534 -0.00863763 -0.99187215]],858,172
,[[-0.02971772  0.0081139  -0.99329248]],762,210
,[[-0.04384899  0.03285542 -0.9887257 ]],796,271
,[[-0.05977913  0.05673015 -0.99503597]],813,373
,[[-0.03878802  0.03316316 -0.99505896]],762,300
,[[-0.03101832  0.01687482 -0.99084292]],765,235
,[[-0.00849151  0.08640372 -0.97969961]],680,448
,[[ 0.01841346  0.03397449 -0.99200323]],608,305
,[[ 0.04310786  0.05050794 -0.99742285]],525,361
,[[ 0.01700714  0.01794686 -0.9959981 ]],609,262
,[[-0.02999794 -0.01336274 -0.99566235]],765,161
,[[-0.08234615  0.02378675 -0.99111679]],887,249
,[[-0.0788603   0.00516826 -0.98780814]],878,207
,[[-0.0961936  -0.0019982  -0.98585221]],921,186
,[[-0.04057701  0.04011763 -0.99130332]],764,326
,[[-0.14044606 -0.03399773 -0.98688709]],1025,112
,[[-0.11750269 -0.03355654 -0.98674804]],973,111
,[[-0.03476428  0.00297552 -0.99654129]],749,224
,[[-0.05069793  0.02587589 -0.99747937]],794,289
,[[-0.07192814  0.00660815 -0.99076457]],869,210
,[[-0.04284937 -0.0128991  -0.99799805]],771,179
,[[-0.06849667 -0.03883177 -0.98574476]],858,99
