frame,res,X,Y
,[[-0.09083249 -0.01056266 -0.99163226]],892,201
,[[-0.08762121 -0.00808292 -0.99156212]],885,208
,[[-0.09451642 -0.01636028 -0.99146697]],900,189
,[[-0.09043905 -0.01442836 -0.9912954 ]],891,193
,[[-0.07593492 -0.01285411 -0.99083121]],858,196
,[[-0.12509107 -0.01231013 -0.98399669]],973,198
,[[-0.09044947 -0.01563211 -0.98747919]],893,193
,[[-0.13315642 -0.01686767 -0.98584129]],991,188
,[[-0.07135021 -0.02699269 -0.98684123]],850,164
,[[-0.05687954 -0.04864236 -0.98880902]],816,116
,[[-0.04718729 -0.04076846 -0.99161582]],795,134
,[[-0.1102819  -0.01054737 -0.98970414]],938,203
,[[-0.05295748 -0.01221434 -0.99015346]],808,199
,[[-0.05582079 -0.01058721 -0.99189929]],814,200
,[[-0.08658272 -0.04629706 -0.98740784]],882,122
,[[-0.0695766  -0.01800792 -0.98967214]],844,186
,[[-0.10368922 -0.00502882 -0.98428305]],922,216
,[[-0.1323667  -0.01470358 -0.98358344]],989,196
,[[-0.07870243 -0.00545182 -0.99045188]],865,213
,[[-0.10228311 -0.0245448  -0.98931311]],919,172
,[[-0.11198602 -0.01962902 -0.98778779]],941,183
,[[-0.09415867 -0.00184532 -0.98814872]],901,223
,[[-0.08554454 -0.01686737 -0.98400913]],883,190
,[[-0.0391588   0.01303241 -0.9930466 ]],777,255
,[[-0.05815431 -0.02048025 -0.99411302]],820,179
,[[-0.02739834 -0.01615996 -0.99072077]],751,191
,[[-0.0376341  -0.03319352 -0.99007469]],773,152
,[[-0.01640304 -0.05160239 -0.99202485]],729,109
,[[-0.02812589 -0.04336164 -0.99393105]],752,131
,[[-0.03512537 -0.04006763 -0.99474668]],769,137
,[[-0.04394653 -0.04569631 -0.99510568]],790,123
,[[-0.07765143 -0.0572528  -0.99339449]],867,97
,[[-0.05565042 -0.07132114 -0.99201273]],815,66
,[[-0.06145995 -0.04655457 -0.99383008]],827,125
,[[-0.06241915 -0.02411778 -0.99494809]],831,174
,[[-0.03848902 -0.01036113 -0.99749086]],776,207
,[[-0.05576673 -0.03029433 -0.99575247]],818,159
,[[-0.05981046 -0.05234381 -0.99248924]],826,109
,[[-0.02455477 -0.04465005 -0.99265022]],746,128
,[[-0.02510432 -0.03187694 -0.99407685]],746,156
,[[-0.03191567 -0.04195066 -0.99337394]],761,135
,[[-0.01853647 -0.05442652 -0.99496743]],732,106
,[[-0.03437709 -0.04883216 -0.99670184]],767,117
,[[-0.00878276 -0.05671945 -0.99618915]],710,101
,[[-0.02690579 -0.0459816  -0.99347077]],749,126
,[[-0.01315392 -0.03894753 -0.99405036]],719,141
,[[-0.03351545 -0.03691349 -0.99441445]],762,148
,[[-0.0350241  -0.02658932 -0.99020411]],766,172
,[[-0.04935466 -0.0231694  -0.99607977]],799,178
,[[-0.05866651 -0.03820293 -0.99680635]],822,143
,[[-0.05475231 -0.05074168 -0.99579879]],814,114
,[[-0.07708299 -0.02698497 -0.99059616]],863,169
,[[-0.05980393 -0.03221149 -0.99479212]],824,157
,[[-0.01831334 -0.02804485 -0.9951791 ]],727,171
,[[-0.06272288 -0.0230253  -0.99384336]],831,178
,[[-0.08232634 -0.01062044 -0.99297611]],874,208
,[[-0.07502425 -0.00616803 -0.99584668]],857,219
,[[-0.07449451 -0.0267267  -0.99594643]],857,169
,[[-0.13244652 -0.00477773 -0.98642754]],990,219
