frame,res,X,Y
1,[[0.09093971 0.2901006 ]],1276,-210
2,[[0.06855607 0.34368777]],1372,-173
3,[[0.08274204 0.31111574]],1319,-196
4,[[0.12030455 0.29367644]],1284,-263
5,[[0.06775093 0.3534769 ]],1399,-172
6,[[0.0351828 0.5162933]],1732,-120
7,[[0.0640129  0.37981308]],1446,-168
8,[[ 0.13094488 -0.01020682]],751,-264
9,[[ 0.14681414 -0.09502725]],611,-288
10,[[ 0.14135441 -0.09470274]],610,-281
11,[[ 0.16799846 -0.07367995]],646,-324
12,[[ 0.1600385 -0.2492171]],345,-320
13,[[ 0.190401   -0.26918703]],309,-374
14,[[ 0.21243814 -0.2660287 ]],307,-415
15,[[ 0.20887858 -0.28702074]],277,-411
16,[[ 0.19663396 -0.31524935]],229,-388
17,[[ 0.24680889 -0.35750422]],141,-491
18,[[ 0.19400966 -0.25431192]],331,-378
19,[[ 0.2222181  -0.36518222]],130,-438
20,[[ 0.23983732 -0.3274484 ]],199,-468
21,[[ 0.21015249 -0.31632876]],224,-411
22,[[ 0.23829946 -0.37417254]],112,-471
23,[[ 0.2230672 -0.364384 ]],141,-441
24,[[ 0.18283045 -0.26910383]],314,-355
25,[[ 0.27153698 -0.179932  ]],451,-528
26,[[ 0.2174389  -0.28011322]],295,-416
27,[[ 0.2651608  -0.22841406]],380,-507
28,[[ 0.1973731  -0.22633138]],389,-377
29,[[ 0.25078773 -0.25914526]],323,-485
30,[[ 0.19965589 -0.24020019]],367,-379
31,[[ 0.17161444 -0.29410467]],275,-336
32,[[ 0.21351597 -0.28892422]],279,-415
33,[[ 0.20995106 -0.2160002 ]],407,-401
34,[[ 0.22859791 -0.21037674]],414,-436
35,[[ 0.21959716 -0.09347384]],611,-412
36,[[ 0.22443686 -0.14565971]],522,-419
37,[[ 0.22512498 -0.2680573 ]],316,-431
38,[[ 0.22442257 -0.15509988]],506,-423
39,[[ 0.15977196 -0.12134905]],568,-306
40,[[ 0.20787816 -0.19682387]],441,-396
41,[[ 0.2118502  -0.10887423]],584,-401
42,[[ 0.18567336 -0.19381268]],444,-355
43,[[ 0.2106579  -0.11386272]],576,-400
44,[[ 0.18936875 -0.08241609]],631,-362
45,[[ 0.24854589 -0.18586868]],455,-473
46,[[ 0.19542523 -0.14111081]],530,-372
47,[[ 0.15180132 -0.11366944]],580,-294
48,[[ 0.1724416  -0.10828272]],588,-330
49,[[ 0.16325808 -0.12483166]],559,-315
50,[[ 0.12303469 -0.18400225]],464,-246
51,[[ 0.14803544 -0.08507398]],628,-290
52,[[ 0.16042575 -0.11788016]],574,-314
53,[[ 0.14470944 -0.11848634]],575,-284
54,[[ 0.16206765 -0.10261987]],598,-314
55,[[ 0.14057568 -0.10378559]],596,-276
56,[[ 0.20409533 -0.0597764 ]],665,-391
57,[[ 0.18604979 -0.14142723]],529,-357
58,[[ 0.18067648 -0.09015532]],618,-345
59,[[ 0.2086166  -0.14679076]],520,-398
60,[[ 0.22124921 -0.08301411]],627,-418
61,[[ 0.18552649 -0.21271953]],411,-362
62,[[ 0.19806485 -0.03218679]],713,-386
63,[[ 0.15320659 -0.23935106]],369,-301
64,[[ 0.1372906  -0.20751333]],426,-270
65,[[ 0.1533771  -0.29892132]],267,-305
66,[[ 0.16126315 -0.1636295 ]],497,-311
67,[[ 0.18694434 -0.11422412]],578,-354
68,[[ 0.17285039 -0.19043367]],451,-335
69,[[ 0.18115643 -0.15212654]],516,-348
70,[[ 0.14084497 -0.18827678]],459,-277
71,[[ 0.20172781 -0.09663318]],605,-383
72,[[ 0.1783242  -0.07850151]],637,-340
73,[[ 0.13984138 -0.15274106]],517,-272
74,[[ 0.16673326 -0.18283665]],463,-321
75,[[ 0.19314891 -0.05339428]],680,-369
