,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
185,185,-107,118,-107,118,-181,168
186,186,-163,105,-163,105,-256,171
187,187,-220,155,-220,155,-386,268
188,188,-192,156,-192,156,-342,257
189,189,-166,164,-166,164,-306,257
190,190,-42,17,-42,17,-15,14
191,191,39,-57,39,-57,144,-94
192,192,113,-155,113,-155,298,-209
193,193,144,-113,144,-113,310,-169
194,194,162,-37,162,-37,287,-91
195,195,159,-13,159,-13,269,-64
196,196,121,-42,121,-42,239,-91
197,197,68,-38,68,-38,170,-77
198,198,-9,-17,-9,-17,54,-36
199,199,0,-72,0,-72,103,-103
200,200,-27,-214,-27,-214,167,-254
201,201,-65,-230,-65,-230,132,-266
202,202,28,-172,28,-172,207,-218
203,203,149,-113,149,-113,316,-170
204,204,261,-119,261,-119,447,-182
205,205,208,-37,208,-37,342,-96
206,206,183,25,183,25,278,-25
207,207,173,85,173,85,232,47
208,208,164,151,164,151,183,130
209,209,162,140,162,140,187,116
210,210,147,181,147,181,144,172
211,211,127,211,127,211,100,217
212,212,114,229,114,229,71,245
213,213,164,242,164,242,134,247
214,214,205,252,205,252,185,249
215,215,209,229,209,229,202,219
216,216,245,269,245,269,231,261
217,217,240,302,240,302,208,306
218,218,233,338,233,338,182,357
219,219,183,321,183,321,119,350
220,220,148,322,148,322,68,363
221,221,85,331,85,331,-30,399
222,222,66,298,66,298,-39,359
223,223,56,313,56,313,-64,385
224,224,31,328,31,328,-110,417
225,225,1,348,1,348,-169,460
226,226,-6,371,-6,371,-195,499
227,227,-37,379,-37,379,-250,525
228,228,-36,364,-36,364,-239,502
229,229,-5,341,-5,341,-175,452
230,230,-99,379,-99,379,-352,556
231,231,-52,465,-52,465,-330,673
232,232,-20,512,-20,512,-307,735
233,233,25,541,25,541,-248,760
234,234,68,509,68,509,-159,683
235,235,158,473,158,473,3,584
236,236,208,450,208,450,90,528
237,237,236,404,236,404,154,450
238,238,259,323,259,323,224,330
239,239,272,262,272,262,271,245
240,240,322,275,322,275,330,250
241,241,367,283,367,283,385,250
242,242,409,313,409,313,426,279
243,243,447,380,447,380,450,357
244,244,471,445,471,445,459,437
245,245,526,430,526,430,533,405
246,246,559,380,559,380,588,336
247,247,602,324,602,324,653,263
248,248,642,247,642,247,716,175
249,249,632,244,632,244,706,172
250,250,650,146,650,146,749,73
251,251,676,56,676,56,795,-9
252,252,702,11,702,11,829,-43
253,253,741,-46,741,-46,875,-81
254,254,742,-82,742,-82,883,-107
255,255,749,-111,749,-111,895,-125
256,256,764,-130,764,-130,910,-134
257,257,766,-139,766,-139,913,-139
258,258,742,-106,742,-106,888,-123
259,259,714,-40,714,-40,851,-81
260,260,707,45,707,45,826,-14
261,261,784,46,784,46,891,-3
262,262,852,80,852,80,941,36
263,263,867,155,867,155,944,99
264,264,934,160,934,160,997,114
265,265,972,185,972,185,1026,141
266,266,1012,261,1012,261,1055,211
267,267,1132,261,1132,261,1145,234
268,268,1221,261,1221,261,1205,256
269,269,1300,266,1300,266,1254,282
270,270,1417,152,1417,152,1292,257
271,271,1518,51,1518,51,1303,263
272,272,1588,-24,1588,-24,1299,282
273,273,1587,10,1587,10,1309,290
274,274,1607,37,1607,37,1323,311
275,275,1608,52,1608,52,1328,316
276,276,1550,86,1550,86,1323,294
277,277,1416,157,1416,157,1292,260
278,278,1349,197,1349,197,1269,255
279,279,1319,230,1319,230,1259,265
280,280,1264,249,1264,249,1230,259
281,281,1200,272,1200,272,1192,258
282,282,1157,279,1157,279,1164,254
283,283,1170,249,1170,249,1170,233
284,284,1185,255,1185,255,1181,242
285,285,1199,293,1199,293,1194,274
286,286,1211,295,1211,295,1202,278
287,287,1224,279,1224,279,1209,270
288,288,1179,284,1179,284,1179,262
289,289,1067,287,1067,287,1098,242
290,290,876,365,876,365,931,297
291,291,721,449,721,449,760,397
292,292,584,405,584,405,611,363
293,293,550,356,550,356,584,307
294,294,424,359,424,359,428,335
295,295,361,370,361,370,342,364
296,296,286,455,286,455,203,506
297,297,223,510,223,510,84,614
298,298,157,527,157,527,-27,670
299,299,108,538,108,538,-110,712
300,300,63,534,63,534,-181,728
301,301,57,504,57,504,-173,680
302,302,50,482,50,482,-172,648
303,303,33,507,33,507,-216,699
304,304,6,458,6,458,-229,632
305,305,36,525,36,525,-221,726
306,306,60,611,60,611,-229,860
307,307,66,676,66,676,-255,972
308,308,112,702,112,702,-190,991
309,309,144,730,144,730,-150,1021
310,310,189,680,189,680,-49,907
311,311,224,637,224,637,26,817
312,312,245,632,245,632,62,799
313,313,254,610,254,610,86,758
314,314,293,614,293,614,144,747
315,315,380,643,380,643,264,756
316,316,427,631,427,631,338,719
317,317,463,582,463,582,404,632
318,318,505,567,505,567,466,597
319,319,536,551,536,551,511,565
320,320,525,497,525,497,513,494
321,321,525,464,525,464,522,450
322,322,524,464,524,464,521,450
323,323,521,452,521,452,520,435
324,324,517,431,517,431,522,408
325,325,510,463,510,463,503,453
326,326,500,484,500,484,484,483
327,327,493,484,493,484,476,484
328,328,541,451,541,451,546,429
329,329,540,467,540,467,540,450
330,330,521,463,521,463,518,449
331,331,531,453,531,453,532,434
332,332,595,428,595,428,618,390
333,333,553,400,553,400,575,362
334,334,473,350,473,350,492,313
335,335,426,329,426,329,441,296
336,336,418,312,418,312,437,276
337,337,329,268,329,268,343,239
338,338,331,240,331,240,357,203
339,339,325,245,325,245,347,211
340,340,323,188,323,188,370,142
341,341,349,98,349,98,442,35
