,frame,ridge_x,ridge_y,lin_x,lin_y,poly_x,poly_y
0,0,883,261,883,261,947,195
1,1,900,275,900,275,960,209
2,2,904,292,904,292,963,226
3,3,894,304,894,304,953,237
4,4,887,282,887,282,949,215
5,5,901,266,901,266,962,202
6,6,967,249,967,249,1019,194
7,7,976,279,976,279,1026,221
8,8,975,299,975,299,1024,239
9,9,980,318,980,318,1028,258
10,10,1051,306,1051,306,1086,256
11,11,1079,311,1079,311,1108,264
12,12,1118,331,1118,331,1139,289
13,13,1148,349,1148,349,1163,309
14,14,1163,358,1163,358,1175,320
15,15,1137,366,1137,366,1156,322
16,16,1136,345,1136,345,1154,304
17,17,1051,319,1051,319,1086,267
18,18,979,312,979,312,1027,252
19,19,931,293,931,293,986,229
20,20,868,215,868,215,938,151
21,21,835,171,835,171,915,109
22,22,870,160,870,160,946,103
23,23,924,191,924,191,987,138
24,24,953,225,953,225,1009,171
25,25,950,278,950,278,1003,218
26,26,949,307,949,307,1002,244
27,27,959,359,959,359,1008,295
28,28,966,392,966,392,1013,327
29,29,968,414,968,414,1015,350
30,30,997,449,997,449,1041,388
31,31,1096,513,1096,513,1133,458
32,32,1132,531,1132,531,1166,478
33,33,1127,477,1127,477,1157,424
34,34,1131,463,1131,463,1159,411
35,35,1140,413,1140,413,1162,365
36,36,1154,398,1154,398,1172,353
37,37,1239,323,1239,323,1224,307
38,38,1301,278,1301,278,1257,291
39,39,1324,239,1324,239,1263,272
40,40,1198,248,1198,248,1189,240
41,41,1076,252,1076,252,1104,215
42,42,969,262,969,262,1020,206
43,43,903,265,903,265,964,201
44,44,847,276,847,276,912,206
45,45,813,271,813,271,882,200
46,46,856,287,856,287,920,218
47,47,897,332,897,332,953,264
48,48,928,364,928,364,980,298
