frame,prob
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1.0,0.04900286719202995
2.0,0.5393142104148865
3.0,0.5260131359100342
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4,NA
4.0,0.00347902555949986
5.0,0.002611411502584815
6.0,0.0031891572289168835
7.0,0.0055242800153791904
8.0,0.004919750615954399
9.0,0.005693004000931978
10.0,0.0037764126900583506
11.0,0.0033369259908795357
12.0,0.007280818186700344
13.0,0.010826034471392632
14.0,0.0183414276689291
15.0,0.019881034269928932
16.0,0.015799541026353836
17.0,0.02543351985514164
18.0,0.010969918221235275
19.0,0.012243679724633694
20.0,0.010422118939459324
21.0,0.01946854591369629
22.0,0.023205332458019257
23.0,0.011785986833274364
24.0,0.012768038548529148
25.0,0.006834268569946289
26.0,0.006369331851601601
27.0,0.01037935633212328
28.0,0.9973867535591125
29.0,0.9994778037071228
30.0,0.9870601892471313
31.0,0.9936615228652954
32.0,0.9832913279533386
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33,NA
33.0,0.005826146341860294
34.0,0.01766611449420452
35.0,0.009135067462921143
36,NA
36,NA
36,NA
36.0,0.007851192727684975
37.0,0.01041711401194334
38.0,0.009947123937308788
39.0,0.008310184814035892
40.0,0.004280886612832546
41.0,0.013537553139030933
42.0,0.005609714426100254
43.0,0.0037686764262616634
44.0,0.0067926072515547276
45.0,0.005816569551825523
46.0,0.0056038047187030315
47.0,0.01583334244787693
48.0,0.008951807394623756
49.0,0.011581488884985447
50.0,0.017514726147055626
51.0,0.014203558675944805
52.0,0.016054963693022728
53.0,0.02075902372598648
54.0,0.00995597057044506
55,NA
55,NA
55.0,0.019089169800281525
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
56,NA
